Time,CSF,Plasma
1,-0.003841,-0.005628
2,-0.001413,-0.002499
3,-0.000520,-0.001022
4,-0.000191,-0.000401
5,-0.000070,-0.000153
6,-0.000026,-0.000058
7,-0.000010,-0.000022
8,0.000001,-0.000008
9,9.270163,0.001873
10,18.534557,0.005371
11,27.793230,0.009254
12,37.046187,0.013227
13,46.293431,0.017221
14,55.534966,0.021217
15,64.770795,0.025213
16,74.000922,0.029206
17,83.225350,0.033196
18,92.444083,0.037185
19,101.657124,0.041171
20,110.864477,0.045154
21,120.066145,0.049135
22,129.262132,0.053113
23,138.452442,0.057089
24,147.636582,0.061528
25,54.311677,44.195469
26,19.980183,26.848666
27,7.350316,12.416001
28,2.704037,5.176293
29,0.994763,2.050188
30,0.365954,0.789210
31,0.134627,0.298723
32,0.049697,0.111904
33,9.319342,0.028720
34,18.583705,0.011823
35,27.842348,0.010817
36,37.095275,0.013618
37,46.342489,0.017331
38,55.583993,0.021260
39,64.819792,0.025239
40,74.049888,0.029228
41,83.274286,0.033218
42,92.492989,0.037206
43,101.706000,0.041192
44,110.913323,0.045175
45,120.114961,0.049156
46,129.310917,0.053134
47,138.501197,0.057110
48,147.685681,0.061198
49,54.330711,44.210277
50,19.987185,26.857912
51,7.352892,12.420313
52,2.704985,5.178098
53,0.995111,2.050904
54,0.366082,0.789486
55,0.134675,0.298827
56,0.049828,0.111943
57,9.321356,0.028728
58,18.585718,0.011826
59,27.844360,0.010818
60,37.097285,0.013619
61,46.344498,0.017332
62,55.586001,0.021261
63,64.821799,0.025240
64,74.051894,0.029229
65,83.276291,0.033219
66,92.494992,0.037207
67,101.708002,0.041193
68,110.915323,0.045176
69,120.116960,0.049157
70,129.312916,0.053135
71,138.503194,0.057111
72,147.687401,0.061458
73,54.327816,44.210148
74,19.986120,26.857015
75,7.352500,12.419780
76,2.704841,5.177853
77,0.995058,2.050802
78,0.366063,0.789446
79,0.134667,0.298812
80,0.049629,0.111938
81,9.317762,0.028730
82,18.582126,0.011825
83,27.840770,0.010817
84,37.093698,0.013618
85,46.340912,0.017330
86,55.582418,0.021259
87,64.818218,0.025238
88,74.048315,0.029227
89,83.272714,0.033217
90,92.491418,0.037205
91,101.704430,0.041191
92,110.911753,0.045174
93,120.113392,0.049155
94,129.309350,0.053134
95,138.499630,0.057110
96,147.684078,0.061232
97,54.330347,44.209851
98,19.987051,26.857701
99,7.352842,12.420223
100,2.704967,5.178062
101,0.995105,2.050890
102,0.366080,0.789481
103,0.134674,0.298825
104,0.049776,0.111942
105,9.320552,0.028728
106,18.584914,0.011826
107,27.843557,0.010818
108,37.096483,0.013619
109,46.343696,0.017331
110,55.585200,0.021260
111,64.820998,0.025239
112,74.051094,0.029229
113,83.275491,0.033218
114,92.494193,0.037206
115,101.707203,0.041192
116,110.914525,0.045175
117,120.116162,0.049156
118,129.312118,0.053135
119,138.502397,0.057111
120,147.686834,0.061242
121,54.325337,44.209471
122,19.985208,26.856111
123,7.352164,12.419290
124,2.704718,5.177635
125,0.995013,2.050713
126,0.366046,0.789411
127,0.134661,0.298799
128,0.049644,0.111933
129,9.318113,0.028728
130,18.582476,0.011825
131,27.841120,0.010817
132,37.094048,0.013618
133,46.341262,0.017330
134,55.582768,0.021259
135,64.818567,0.025238
136,74.048665,0.029228
137,83.273063,0.033217
138,92.491767,0.037205
139,101.704778,0.041191
140,110.912102,0.045174
141,120.113740,0.049155
142,129.309698,0.053134
143,138.499978,0.057110
144,147.684349,0.061304
145,54.331204,44.210101
146,19.987366,26.858017
147,7.352958,12.420393
148,2.705010,5.178137
149,0.995120,2.050921
150,0.366086,0.789493
151,0.134676,0.298830
152,0.049639,0.111945
153,9.317906,0.028731
154,18.582270,0.011825
155,27.840914,0.010817
156,37.093841,0.013618
157,46.341056,0.017330
158,55.582562,0.021259
159,64.818361,0.025238
160,74.048459,0.029228
161,83.272858,0.033217
162,92.491561,0.037205
163,101.704573,0.041191
164,110.911896,0.045174
165,120.113535,0.049155
166,129.309493,0.053134
167,138.499773,0.057110
168,147.684191,0.061260
169,54.329527,44.209719
170,19.986750,26.857424
171,7.352731,12.420066
172,2.704926,5.177991
173,0.995090,2.050861
174,0.366074,0.789469
175,0.134672,0.298821
176,0.049794,0.111941
177,9.320692,0.028728
178,18.585054,0.011825
179,27.843697,0.010818
180,37.096623,0.013619
181,46.343836,0.017331
182,55.585339,0.021260
183,64.821137,0.025240
184,74.051233,0.029229
185,83.275630,0.033218
186,92.494332,0.037207
187,101.707342,0.041192
188,110.914664,0.045176
189,120.116301,0.049156
190,129.312257,0.053135
191,138.502536,0.057111
192,147.686937,0.061275
193,54.324515,44.209338
194,19.984906,26.855833
195,7.352053,12.419133
196,2.704677,5.177564
197,0.994998,2.050684
198,0.366040,0.789400
199,0.134659,0.298794
200,0.049651,0.111931
201,9.318253,0.028728
202,18.582617,0.011825
203,27.841260,0.010817
204,37.094188,0.013618
205,46.341402,0.017330
206,55.582908,0.021259
207,64.818707,0.025238
208,74.048804,0.029228
209,83.273203,0.033217
210,92.491906,0.037205
211,101.704918,0.041191
212,110.912241,0.045175
213,120.113880,0.049155
214,129.309837,0.053134
215,138.500117,0.057110
216,147.684455,0.061335
217,54.330381,44.209968
218,19.987064,26.857739
219,7.352847,12.420236
220,2.704969,5.178066
221,0.995105,2.050891
222,0.366080,0.789481
223,0.134674,0.298826
224,0.049645,0.111943
225,9.318046,0.028731
226,18.582410,0.011825
227,27.841054,0.010817
228,37.093981,0.013618
229,46.341196,0.017330
230,55.582702,0.021259
231,64.818501,0.025238
232,74.048599,0.029228
233,83.272997,0.033217
234,92.491701,0.037205
235,101.704712,0.041191
236,110.912036,0.045174
237,120.113675,0.049155
238,129.309632,0.053134
239,138.499912,0.057110
240,147.684300,0.061289
