Time,Brain,CSF,Plasma
1.000000e-01,0.625474,0.034243,0.039877
2.000000e-01,1.122669,0.125409,0.148841
3.000000e-01,1.517892,0.258954,0.313264
4.000000e-01,1.832059,0.423447,0.522173
5.000000e-01,2.081792,0.609922,0.766711
6.000000e-01,2.280307,0.811372,1.039713
7.000000e-01,2.438108,1.022337,1.335371
8.000000e-01,2.563545,1.238586,1.648961
9.000000e-01,2.663256,1.456855,1.976628
1,2.742518,1.674651,2.315217
1.100000e+00,2.805523,1.890083,2.662138
1.200000e+00,2.855606,2.101737,3.015253
1.300000e+00,2.895418,2.308576,3.372791
1.400000e+00,2.927064,2.509856,3.733280
1.500000e+00,2.952220,2.705062,4.095490
1.600000e+00,2.972217,2.893861,4.458387
1.700000e+00,2.988113,3.076058,4.821101
1.800000e+00,3.000748,3.251565,5.182895
1.900000e+00,3.010793,3.420379,5.543142
2,3.018777,3.582558,5.901307
2.100000e+00,3.025123,3.738206,6.256932
2.200000e+00,3.030168,3.887463,6.609624
2.300000e+00,3.034179,4.030496,6.959043
2.400000e+00,3.037366,4.167485,7.304898
2.500000e+00,3.039900,4.298626,7.646936
2.600000e+00,3.041915,4.424120,7.984940
2.700000e+00,3.043516,4.544171,8.318722
2.800000e+00,3.044789,4.658986,8.648122
2.900000e+00,3.045801,4.768767,8.973000
3,3.046605,4.873718,9.293240
3.100000e+00,3.047244,4.974035,9.608742
3.200000e+00,3.047752,5.069911,9.919424
3.300000e+00,3.048156,5.161533,10.225217
3.400000e+00,3.048477,5.249081,10.526066
3.500000e+00,3.048733,5.332731,10.821929
3.600000e+00,3.048936,5.412652,11.112772
3.700000e+00,3.049097,5.489006,11.398574
3.800000e+00,3.049225,5.561950,11.679322
3.900000e+00,3.049327,5.631632,11.955011
4,3.049408,5.698197,12.225642
4.100000e+00,3.049472,5.761784,12.491226
4.200000e+00,3.049524,5.822523,12.751779
4.300000e+00,3.049564,5.880542,13.007321
4.400000e+00,3.049597,5.935961,13.257879
4.500000e+00,3.049622,5.988897,13.503485
4.600000e+00,3.049643,6.039460,13.744174
4.700000e+00,3.049659,6.087757,13.979988
4.800000e+00,3.049672,6.133888,14.210968
4.900000e+00,3.049682,6.177950,14.437162
5,3.049690,6.220037,14.658619
5.100000e+00,3.049697,6.260235,14.875393
5.200000e+00,3.049702,6.298631,15.087537
5.300000e+00,3.049706,6.335305,15.295109
5.400000e+00,3.049709,6.370333,15.498167
5.500000e+00,3.049712,6.403790,15.696773
5.600000e+00,3.049714,6.435746,15.890988
5.700000e+00,3.049716,6.466269,16.080875
5.800000e+00,3.049717,6.495422,16.266500
5.900000e+00,3.049718,6.523267,16.447927
6,3.049719,6.549863,16.625223
6.100000e+00,3.049719,6.575266,16.798455
6.200000e+00,3.049720,6.599529,16.967690
6.300000e+00,3.049720,6.622703,17.132996
6.400000e+00,3.049721,6.644838,17.294440
6.500000e+00,3.049721,6.665980,17.452091
6.600000e+00,3.049721,6.686173,17.606018
6.700000e+00,3.049721,6.705460,17.756287
6.800000e+00,3.049721,6.723881,17.902968
6.900000e+00,3.049722,6.741477,18.046128
7,3.049722,6.758282,18.185835
7.100000e+00,3.049722,6.774334,18.322155
7.200000e+00,3.049722,6.789665,18.455156
7.300000e+00,3.049722,6.804309,18.584904
7.400000e+00,3.049722,6.818296,18.711465
7.500000e+00,3.049722,6.831655,18.834903
7.600000e+00,3.049722,6.844414,18.955284
7.700000e+00,3.049722,6.856601,19.072670
7.800000e+00,3.049722,6.868242,19.187126
7.900000e+00,3.049722,6.879360,19.298714
8,3.054368,6.889953,19.405767
8.100000e+00,3.647055,6.917890,19.302209
8.200000e+00,4.160524,6.983174,19.245355
8.300000e+00,4.602470,7.079398,19.230149
8.400000e+00,4.982857,7.201068,19.250959
8.500000e+00,5.310259,7.343493,19.302897
8.600000e+00,5.592056,7.502666,19.381720
8.700000e+00,5.834602,7.675174,19.483739
8.800000e+00,6.043362,7.858110,19.605747
8.900000e+00,6.223044,8.049003,19.744951
9,6.377698,8.245756,19.898921
9.100000e+00,6.510809,8.446594,20.065534
9.200000e+00,6.625379,8.650018,20.242938
9.300000e+00,6.723991,8.854763,20.429516
9.400000e+00,6.808866,9.059770,20.623851
9.500000e+00,6.881920,9.264151,20.824703
9.600000e+00,6.944797,9.467168,21.030986
9.700000e+00,6.998916,9.668211,21.241744
9.800000e+00,7.045497,9.866775,21.456138
9.900000e+00,7.085589,10.062454,21.673431
10,7.120097,10.254915,21.892971
1.010000e+01,7.149798,10.443897,22.114184
1.020000e+01,7.175362,10.629196,22.336562
1.030000e+01,7.197365,10.810654,22.559659
1.040000e+01,7.216304,10.988158,22.783076
1.050000e+01,7.232604,11.161628,23.006462
1.060000e+01,7.246634,11.331015,23.229505
1.070000e+01,7.258709,11.496294,23.451928
1.080000e+01,7.269103,11.657461,23.673483
1.090000e+01,7.278049,11.814531,23.893954
11,7.285748,11.967530,24.113145
1.110000e+01,7.292376,12.116501,24.330883
1.120000e+01,7.298080,12.261494,24.547014
1.130000e+01,7.302989,12.402566,24.761402
1.140000e+01,7.307215,12.539783,24.973924
1.150000e+01,7.310852,12.673216,25.184474
1.160000e+01,7.313983,12.802937,25.392955
1.170000e+01,7.316677,12.929026,25.599284
1.180000e+01,7.318996,13.051560,25.803385
1.190000e+01,7.320992,13.170621,26.005193
12,7.322710,13.286291,26.204652
1.210000e+01,7.324189,13.398653,26.401710
1.220000e+01,7.325462,13.507789,26.596325
1.230000e+01,7.326557,13.613780,26.788460
1.240000e+01,7.327500,13.716709,26.978084
1.250000e+01,7.328312,13.816657,27.165170
1.260000e+01,7.329010,13.913702,27.349697
1.270000e+01,7.329611,14.007925,27.531647
1.280000e+01,7.330129,14.099401,27.711008
1.290000e+01,7.330574,14.188206,27.887769
13,7.330957,14.274416,28.061924
1.310000e+01,7.331287,14.358102,28.233471
