Time,CSF,Plasma
1,9.506810,0.350542
2,18.118376,1.051158
3,25.910442,1.822684
4,32.960996,2.571402
5,39.340601,3.267491
6,45.113106,3.904187
7,50.336284,4.482814
8,55.062515,5.007304
9,60.290641,5.517739
10,65.021112,6.017429
11,69.301419,6.483484
12,73.174401,6.910308
13,76.678820,7.298398
14,79.849749,7.650248
15,82.718925,7.968871
16,85.315063,8.257267
17,87.664145,8.518252
18,89.789683,8.754414
19,91.712949,8.968107
20,93.453192,9.161466
21,95.027829,9.336426
22,96.452619,9.494736
23,97.741823,9.637980
24,98.908239,9.767594
25,99.012002,9.849357
26,99.106022,9.885636
27,99.191095,9.904591
28,99.268073,9.916640
29,99.337725,9.925665
30,99.400749,9.933141
31,99.457775,9.939651
32,99.509478,9.945449
33,100.507916,9.986176
34,101.411207,10.060718
35,102.228539,10.142033
36,102.968091,10.220711
37,103.637266,10.293778
38,104.242760,10.360582
39,104.790634,10.421283
40,105.286370,10.476301
41,105.734932,10.526117
42,106.140806,10.571206
43,106.508057,10.612008
44,106.840360,10.648930
45,107.141039,10.682338
46,107.413105,10.712567
47,107.659281,10.739920
48,107.881926,10.764670
49,107.131729,10.751549
50,106.453056,10.701973
51,105.838966,10.643244
52,105.283315,10.585000
53,104.780541,10.530423
54,104.325613,10.480348
55,103.913976,10.434785
56,103.541615,10.393464
57,104.156344,10.391557
58,104.712442,10.427522
59,105.215619,10.473931
60,105.670913,10.521024
61,106.082881,10.565513
62,106.455644,10.606458
63,106.792934,10.643761
64,107.098127,10.677607
65,107.374276,10.708267
66,107.624147,10.736021
67,107.850239,10.761140
68,108.054816,10.783869
69,108.239925,10.804436
70,108.407418,10.823047
71,108.558972,10.839886
72,108.696001,10.855123
73,107.868334,10.833394
74,107.119563,10.776029
75,106.442047,10.710253
76,105.829006,10.645633
77,105.274302,10.585285
78,104.772386,10.529990
79,104.318233,10.479702
80,103.907403,10.434107
81,104.487322,10.428332
82,105.011923,10.460798
83,105.486601,10.504040
84,105.916108,10.548268
85,106.304742,10.590164
86,106.656392,10.628763
87,106.974578,10.663943
88,107.262485,10.695869
89,107.522994,10.724791
90,107.758713,10.750973
91,107.971999,10.774668
92,108.164989,10.796111
93,108.339613,10.815513
94,108.497620,10.833069
95,108.640590,10.848955
96,108.769852,10.863328
97,107.935158,10.840819
98,107.180028,10.782747
99,106.496758,10.716331
100,105.878509,10.651133
101,105.319095,10.590262
102,104.812916,10.534493
103,104.354907,10.483777
104,103.940586,10.437794
105,104.517348,10.431668
106,105.039091,10.463816
107,105.511184,10.506771
108,105.938352,10.550740
109,106.324869,10.592400
110,106.674604,10.630787
111,106.991057,10.665774
112,107.277396,10.697526
113,107.536486,10.726290
114,107.770920,10.752329
115,107.983045,10.775896
116,108.174984,10.797221
117,108.348657,10.816518
118,108.505803,10.833978
119,108.647995,10.849777
120,108.776552,10.864073
121,107.941220,10.841492
122,107.185513,10.783357
123,106.501721,10.716883
124,105.883000,10.651632
125,105.323159,10.590714
126,104.816593,10.534902
127,104.358234,10.484147
128,103.943597,10.438129
129,104.520072,10.431971
130,105.041556,10.464090
131,105.513414,10.507019
132,105.940369,10.550964
133,106.326694,10.592603
134,106.676256,10.630970
135,106.992552,10.665940
136,107.278748,10.697676
137,107.537710,10.726426
138,107.772028,10.752453
139,107.984047,10.776007
140,108.175890,10.797322
141,108.349477,10.816609
142,108.506545,10.834061
143,108.648666,10.849852
144,108.777159,10.864140
145,107.941770,10.841554
146,107.186010,10.783412
147,106.502171,10.716933
148,105.883408,10.651677
149,105.323527,10.590755
150,104.816927,10.534939
151,104.358536,10.484180
152,103.943870,10.438159
153,104.520319,10.431998
154,105.041780,10.464115
155,105.513617,10.507042
156,105.940552,10.550984
157,106.326860,10.592622
158,106.676405,10.630987
159,106.992687,10.665955
160,107.278871,10.697690
161,107.537821,10.726438
162,107.772128,10.752464
163,107.984138,10.776017
164,108.175973,10.797331
165,108.349552,10.816617
166,108.506613,10.834068
167,108.648727,10.849859
168,108.777214,10.864146
169,107.941820,10.841559
170,107.186056,10.783417
171,106.502212,10.716937
172,105.883445,10.651682
173,105.323561,10.590758
174,104.816957,10.534942
175,104.358563,10.484183
176,103.943894,10.438162
177,104.520341,10.432001
178,105.041800,10.464117
179,105.513635,10.507044
180,105.940569,10.550986
181,106.326875,10.592623
182,106.676419,10.630988
183,106.992700,10.665957
184,107.278882,10.697691
185,107.537831,10.726439
186,107.772137,10.752465
187,107.984146,10.776018
188,108.175980,10.797332
189,108.349559,10.816618
190,108.506619,10.834069
191,108.648733,10.849859
192,108.777219,10.864147
193,107.941824,10.841560
194,107.186060,10.783418
195,106.502216,10.716938
196,105.883448,10.651682
197,105.323564,10.590759
198,104.816960,10.534942
199,104.358566,10.484184
200,103.943897,10.438162
201,104.520343,10.432001
202,105.041802,10.464118
203,105.513637,10.507044
204,105.940571,10.550986
205,106.326876,10.592623
206,106.676420,10.630989
207,106.992701,10.665957
208,107.278883,10.697691
209,107.537832,10.726439
210,107.772138,10.752465
211,107.984147,10.776018
212,108.175981,10.797332
213,108.349559,10.816618
214,108.506619,10.834069
215,108.648733,10.849859
216,108.777220,10.864147
217,107.941825,10.841560
218,107.186060,10.783418
219,106.502216,10.716938
220,105.883448,10.651682
221,105.323564,10.590759
222,104.816960,10.534942
223,104.358566,10.484184
224,103.943897,10.438162
225,104.520344,10.432001
226,105.041802,10.464118
227,105.513637,10.507044
228,105.940571,10.550986
229,106.326877,10.592623
230,106.676420,10.630989
231,106.992701,10.665957
232,107.278883,10.697691
233,107.537832,10.726439
234,107.772138,10.752465
235,107.984147,10.776018
236,108.175981,10.797332
237,108.349559,10.816618
238,108.506619,10.834069
239,108.648733,10.849859
240,108.777220,10.864147
