Iteration,Loss
1,0.131528
2,0.131516
3,0.131503
4,0.131516
5,0.131516
6,0.131509
7,0.131515
8,0.131503
9,0.131509
10,0.131515
11,0.131503
12,0.131514
13,0.131516
14,0.131492
15,0.131498
16,0.131492
17,0.131492
18,0.131493
19,0.131503
20,0.131491
21,0.131492
22,0.131492
23,0.131492
24,0.131493
25,0.131503
26,0.131492
27,0.131491
28,0.131492
29,0.131492
30,0.131492
31,0.131492
32,0.131492
33,0.131502
34,0.131491
35,0.131731
36,0.131491
37,0.131491
38,0.131495
39,0.131491
40,0.131492
41,0.131492
42,0.131494
43,0.131491
44,0.131733
45,0.131492
46,0.131491
47,0.131491
48,0.131491
49,0.132041
50,0.131491
51,0.131491
52,0.131609
53,0.131492
54,0.131491
55,0.131491
56,0.131491
57,0.131628
58,0.131491
59,0.131491
60,0.131732
61,0.131492
62,0.131491
63,0.131491
64,0.131491
65,0.131996
66,0.131492
67,0.131491
68,0.131608
69,0.131491
70,0.131491
71,0.131491
72,0.131491
73,0.131626
74,0.131491
75,0.131372
76,0.131391
77,0.131523
78,0.131372
79,0.131405
80,0.131374
81,0.131428
82,0.131430
83,0.131401
84,0.131374
85,0.131391
86,0.131524
87,0.131373
88,0.131396
89,0.131397
90,0.131383
91,0.131986
92,0.131372
93,0.131382
94,0.131445
95,0.131372
96,0.131383
97,0.131383
98,0.131377
99,0.131492
100,0.131517
101,0.131372
102,0.131391
103,0.131523
104,0.131372
105,0.131395
106,0.131397
107,0.131383
108,0.131954
109,0.131373
110,0.131382
111,0.131445
112,0.131372
113,0.131383
114,0.131383
115,0.131377
116,0.131491
117,0.131517
118,0.131372
119,0.131377
120,0.131339
121,0.131351
122,0.131399
123,0.131339
124,0.131362
125,0.131465
126,0.131339
127,0.131368
128,0.131370
129,0.131352
130,0.131961
131,0.131339
132,0.131351
133,0.131399
134,0.131339
135,0.131352
136,0.131353
137,0.131345
138,0.131486
139,0.131339
140,0.131419
141,0.131345
142,0.131368
143,0.131300
144,0.131317
145,0.131360
146,0.131300
147,0.131330
148,0.131424
149,0.131299
150,0.131353
151,0.131397
152,0.131401
153,0.131354
154,0.131302
155,0.131329
156,0.131425
157,0.131298
158,0.131352
159,0.131398
160,0.131401
161,0.131354
162,0.131300
163,0.131329
164,0.131426
165,0.131338
166,0.131341
167,0.131320
168,0.131611
169,0.131299
170,0.131314
171,0.131359
172,0.131316
173,0.131318
174,0.131308
175,0.131395
176,0.131299
177,0.131379
178,0.131307
179,0.131328
180,0.131298
181,0.131314
182,0.131359
183,0.131316
184,0.131318
185,0.131308
186,0.131395
187,0.131298
188,0.131379
189,0.131307
190,0.131328
191,0.131307
192,0.131308
193,0.131289
194,0.131307
195,0.131352
196,0.131308
197,0.131309
198,0.131298
199,0.131390
200,0.131290
201,0.131373
202,0.131298
203,0.131320
204,0.131298
205,0.131299
206,0.131293
207,0.131335
208,0.131289
209,0.131323
210,0.131285
211,0.131294
