Iteration,Loss
1,0.131279
2,0.131284
3,0.132819
4,0.131409
5,0.131238
6,0.131228
7,0.131284
8,0.135372
9,0.131216
10,0.131412
11,0.134907
12,0.131223
13,0.131228
14,0.131248
15,0.132284
16,0.131221
17,0.131219
18,0.131221
19,0.131210
20,0.131318
21,0.131908
22,0.131209
23,0.131523
24,0.134084
25,0.131208
26,0.131209
27,0.131523
28,0.134274
29,0.131213
30,0.131208
31,0.131311
32,0.132054
33,0.131208
34,0.131208
35,0.131523
36,0.134373
37,0.131215
38,0.131208
39,0.131309
40,0.132093
41,0.131209
42,0.131208
43,0.131208
44,0.131238
45,0.131435
46,0.131209
47,0.131209
48,0.131208
49,0.131208
50,0.131308
51,0.132114
52,0.131209
53,0.131208
54,0.131208
55,0.131237
56,0.131443
57,0.131209
58,0.131209
59,0.131232
60,0.131475
61,0.131208
62,0.131208
63,0.131208
64,0.131216
65,0.131266
66,0.131208
67,0.131208
68,0.131208
69,0.131208
70,0.131236
71,0.131445
72,0.131209
73,0.131209
74,0.131233
75,0.131475
76,0.131208
77,0.131208
78,0.131208
79,0.131216
80,0.131267
81,0.131208
82,0.131208
83,0.131213
84,0.131275
85,0.131209
86,0.131208
87,0.131208
88,0.131207
89,0.131208
90,0.131497
91,0.134382
92,0.131215
93,0.131208
94,0.131298
95,0.132095
96,0.131210
97,0.131208
98,0.131209
99,0.131208
100,0.131208
101,0.131234
102,0.131437
103,0.131209
104,0.131208
105,0.131207
106,0.131208
107,0.131297
108,0.132114
109,0.131210
110,0.131208
111,0.131209
112,0.131208
113,0.131207
114,0.131233
115,0.131444
116,0.131209
117,0.131208
118,0.131208
119,0.131231
120,0.131466
121,0.131208
122,0.131208
123,0.131207
124,0.131214
125,0.131268
126,0.131208
127,0.131208
128,0.131207
129,0.131213
130,0.131272
131,0.131208
132,0.131208
133,0.131208
134,0.131207
135,0.131209
136,0.131222
137,0.131208
138,0.131208
139,0.131207
140,0.131209
141,0.131224
142,0.131208
143,0.131207
144,0.131207
145,0.131207
146,0.131207
147,0.131293
148,0.132102
149,0.131210
150,0.131207
151,0.131209
152,0.131208
153,0.131207
154,0.131231
155,0.131441
156,0.131209
157,0.131208
158,0.131207
159,0.131230
160,0.131462
161,0.131208
162,0.131208
163,0.131207
164,0.131214
165,0.131266
166,0.131208
167,0.131208
168,0.131207
169,0.131213
170,0.131271
171,0.131208
172,0.131207
173,0.131207
174,0.131207
175,0.131209
176,0.131222
177,0.131207
178,0.131208
179,0.131207
180,0.131209
181,0.131223
182,0.131208
183,0.131207
184,0.131207
185,0.131207
186,0.131207
187,0.131289
188,0.132090
189,0.131210
190,0.131207
191,0.131209
192,0.131208
193,0.131207
194,0.131230
195,0.131437
196,0.131209
197,0.131208
198,0.131207
199,0.131228
200,0.131458
201,0.131208
202,0.131208
203,0.131207
204,0.131214
205,0.131265
206,0.131208
207,0.131208
208,0.131207
209,0.131212
210,0.131270
211,0.131208
212,0.131207
213,0.131207
214,0.131207
215,0.131209
216,0.131222
217,0.131207
218,0.131207
219,0.131207
220,0.131208
221,0.131223
222,0.131208
223,0.131207
224,0.131207
225,0.131207
226,0.131285
227,0.132079
228,0.131210
229,0.131207
230,0.131209
231,0.131208
232,0.131207
233,0.131229
234,0.131434
235,0.131209
236,0.131208
237,0.131207
238,0.131227
239,0.131454
240,0.131208
241,0.131207
242,0.131207
243,0.131213
244,0.131264
245,0.131208
246,0.131208
247,0.131207
248,0.131212
249,0.131269
250,0.131208
251,0.131207
252,0.131207
253,0.131207
254,0.131209
255,0.131221
256,0.131207
257,0.131207
258,0.131207
259,0.131207
260,0.131213
261,0.131265
262,0.131208
263,0.131208
264,0.131207
265,0.131212
266,0.131269
267,0.131208
268,0.131207
269,0.131207
270,0.131207
271,0.131209
272,0.131222
273,0.131207
274,0.131207
275,0.131207
276,0.131208
277,0.131223
278,0.131208
279,0.131207
280,0.131207
281,0.131207
282,0.131280
283,0.132072
284,0.131210
285,0.131207
286,0.131209
287,0.131208
288,0.131228
289,0.131432
290,0.131208
291,0.131208
292,0.131207
293,0.131226
294,0.131450
295,0.131208
296,0.131207
297,0.131213
298,0.131264
299,0.131208
300,0.131208
301,0.131207
302,0.131212
303,0.131268
304,0.131208
305,0.131207
306,0.131207
307,0.131209
308,0.131221
309,0.131207
310,0.131207
311,0.131207
312,0.131208
313,0.131222
314,0.131208
315,0.131207
316,0.131212
317,0.131267
318,0.131208
319,0.131207
320,0.131207
321,0.131212
322,0.131265
323,0.131208
324,0.131207
325,0.131207
326,0.131208
327,0.131223
328,0.131207
329,0.131207
330,0.131207
331,0.131209
332,0.131221
333,0.131207
334,0.131207
335,0.131207
336,0.131208
337,0.131211
338,0.131207
339,0.131207
340,0.131209
341,0.131222
342,0.131207
343,0.131207
344,0.131207
345,0.131208
346,0.131222
347,0.131207
348,0.131207
349,0.131207
350,0.131208
351,0.131211
352,0.131207
353,0.131207
354,0.131207
355,0.131208
356,0.131211
357,0.131207
358,0.131207
359,0.131207
360,0.131207
361,0.131208
362,0.131207
363,0.131207
364,0.131207
365,0.131207
366,0.131208
367,0.131207
368,0.131207
369,0.131208
370,0.131211
371,0.131207
372,0.131207
373,0.131207
374,0.131208
375,0.131211
376,0.131207
377,0.131207
378,0.131207
379,0.131207
380,0.131208
381,0.131207
382,0.131207
383,0.131207
384,0.131207
385,0.131208
386,0.131207
387,0.131207
388,0.131207
389,0.131207
390,0.131207
391,0.131208
