Time,CSF,Plasma
1.000000e-01,0.939998,0.049245
2.000000e-01,1.769496,0.216005
3.000000e-01,2.501483,0.473940
4.000000e-01,3.147423,0.809116
5.000000e-01,3.717429,1.209333
6.000000e-01,4.220429,1.663913
7.000000e-01,4.664300,2.163521
8.000000e-01,5.055992,2.700008
9.000000e-01,5.401639,3.266262
1,5.706654,3.856091
1.100000e+00,5.975813,4.464106
1.200000e+00,6.213331,5.085630
1.300000e+00,6.422928,5.716608
1.400000e+00,6.607887,6.353534
1.500000e+00,6.771102,6.993383
1.600000e+00,6.915131,7.633554
1.700000e+00,7.042229,8.271816
1.800000e+00,7.154386,8.906265
1.900000e+00,7.253359,9.535282
2,7.340697,10.157499
2.100000e+00,7.417768,10.771767
2.200000e+00,7.485779,11.377127
2.300000e+00,7.545795,11.972790
2.400000e+00,7.598756,12.558111
2.500000e+00,7.645491,13.132575
2.600000e+00,7.686732,13.695775
2.700000e+00,7.723126,14.247403
2.800000e+00,7.755241,14.787233
2.900000e+00,7.783581,15.315113
3,7.808589,15.830952
3.100000e+00,7.830657,16.334714
3.200000e+00,7.850132,16.826410
3.300000e+00,7.867317,17.306089
3.400000e+00,7.882482,17.773835
3.500000e+00,7.895864,18.229761
3.600000e+00,7.907673,18.674004
3.700000e+00,7.918094,19.106719
3.800000e+00,7.927289,19.528082
3.900000e+00,7.935404,19.938280
4,7.942565,20.337512
4.100000e+00,7.948884,20.725985
4.200000e+00,7.954460,21.103915
4.300000e+00,7.959381,21.471522
4.400000e+00,7.963724,21.829029
4.500000e+00,7.967555,22.176662
4.600000e+00,7.970937,22.514650
4.700000e+00,7.973921,22.843219
4.800000e+00,7.976554,23.162597
4.900000e+00,7.978877,23.473011
5,7.980928,23.774684
5.100000e+00,7.982737,24.067839
5.200000e+00,7.984334,24.352695
5.300000e+00,7.985743,24.629468
5.400000e+00,7.986986,24.898371
5.500000e+00,7.988084,25.159614
5.600000e+00,7.989052,25.413401
5.700000e+00,7.989906,25.659935
5.800000e+00,7.990660,25.899413
5.900000e+00,7.991326,26.132027
6,7.991913,26.357967
6.100000e+00,7.992431,26.577417
6.200000e+00,7.992888,26.790558
6.300000e+00,7.993291,26.997565
6.400000e+00,7.993647,27.198612
6.500000e+00,7.993962,27.393864
6.600000e+00,7.994239,27.583486
6.700000e+00,7.994484,27.767637
6.800000e+00,7.994699,27.946471
6.900000e+00,7.994890,28.120139
7,7.995058,28.288789
7.100000e+00,7.995206,28.452564
7.200000e+00,7.995337,28.611603
7.300000e+00,7.995453,28.766041
7.400000e+00,7.995555,28.916010
7.500000e+00,7.995645,29.061638
7.600000e+00,7.995724,29.203050
7.700000e+00,7.995794,29.340367
7.800000e+00,7.995856,29.473706
7.900000e+00,7.995911,29.603183
8,8.019332,29.726043
8.100000e+00,10.568011,29.596832
8.200000e+00,12.978388,29.594285
8.300000e+00,15.271120,29.708163
8.400000e+00,17.451949,29.930482
8.500000e+00,19.526337,30.253692
8.600000e+00,21.499479,30.670656
8.700000e+00,23.376316,31.174629
8.800000e+00,25.161549,31.759238
8.900000e+00,26.859648,32.418465
9,28.474868,33.146624
9.100000e+00,30.011252,33.938349
9.200000e+00,31.472649,34.788576
9.300000e+00,32.862718,35.692524
9.400000e+00,34.184941,36.645688
9.500000e+00,35.442629,37.643816
9.600000e+00,36.638933,38.682902
9.700000e+00,37.776848,39.759172
9.800000e+00,38.859223,40.869070
9.900000e+00,39.888770,42.009249
10,40.868068,43.176559
1.010000e+01,41.799568,44.368036
1.020000e+01,42.685604,45.580894
1.030000e+01,43.528394,46.812515
1.040000e+01,44.330050,48.060439
1.050000e+01,45.092578,49.322357
1.060000e+01,45.817890,50.596103
1.070000e+01,46.507800,51.879647
1.080000e+01,47.164038,53.171084
1.090000e+01,47.788246,54.468633
11,48.381988,55.770626
1.110000e+01,48.946751,57.075504
1.120000e+01,49.483949,58.381812
1.130000e+01,49.994927,59.688189
1.140000e+01,50.480966,60.993369
1.150000e+01,50.943282,62.296172
1.160000e+01,51.383034,63.595498
1.170000e+01,51.801323,64.890327
1.180000e+01,52.199195,66.179713
1.190000e+01,52.577649,67.462777
12,52.937631,68.738707
1.210000e+01,53.280043,70.006752
1.220000e+01,53.605743,71.266220
1.230000e+01,53.915546,72.516474
1.240000e+01,54.210228,73.756929
1.250000e+01,54.490528,74.987048
1.260000e+01,54.757147,76.206344
1.270000e+01,55.010752,77.414368
1.280000e+01,55.251980,78.610716
1.290000e+01,55.481434,79.795021
13,55.699689,80.966954
1.310000e+01,55.907291,82.126219
1.320000e+01,56.104761,83.272552
1.330000e+01,56.292593,84.405720
1.340000e+01,56.471257,85.525519
1.350000e+01,56.641201,86.631770
1.360000e+01,56.802850,87.724321
1.370000e+01,56.956610,88.803043
1.380000e+01,57.102865,89.867828
1.390000e+01,57.241981,90.918591
14,57.374308,91.955263
1.410000e+01,57.500176,92.977798
1.420000e+01,57.619900,93.986161
1.430000e+01,57.733782,94.980338
1.440000e+01,57.842104,95.960328
1.450000e+01,57.945140,96.926142
1.460000e+01,58.043147,97.877807
1.470000e+01,58.136371,98.815359
1.480000e+01,58.225044,99.738847
1.490000e+01,58.309390,100.648331
15,58.389618,101.543877
1.510000e+01,58.465931,102.425565
1.520000e+01,58.538520,103.293478
1.530000e+01,58.607565,104.147710
1.540000e+01,58.673241,104.988360
1.550000e+01,58.735711,105.815536
1.560000e+01,58.795132,106.629348
1.570000e+01,58.851653,107.429915
1.580000e+01,58.905415,108.217358
1.590000e+01,58.956553,108.991805
16,59.005195,109.753386
1.610000e+01,59.051463,110.502234
1.620000e+01,59.095473,111.238489
1.630000e+01,59.137335,111.962289
1.640000e+01,59.177154,112.673779
1.650000e+01,59.215029,113.373102
1.660000e+01,59.251055,114.060407
1.670000e+01,59.285324,114.735841
1.680000e+01,59.317919,115.399556
1.690000e+01,59.348924,116.051702
17,59.378415,116.692431
1.710000e+01,59.406467,117.321897
1.720000e+01,59.433150,117.940253
1.730000e+01,59.458531,118.547653
1.740000e+01,59.482673,119.144252
1.750000e+01,59.505636,119.730202
1.760000e+01,59.527479,120.305658
1.770000e+01,59.548256,120.870775
1.780000e+01,59.568018,121.425704
1.790000e+01,59.586816,121.970599
18,59.604697,122.505612
1.810000e+01,59.621704,123.030895
1.820000e+01,59.637882,123.546597
1.830000e+01,59.653270,124.052869
1.840000e+01,59.667907,124.549858
1.850000e+01,59.681830,125.037714
1.860000e+01,59.695073,125.516581
1.870000e+01,59.707670,125.986606
1.880000e+01,59.719651,126.447932
1.890000e+01,59.731049,126.900701
19,59.741889,127.345056
1.910000e+01,59.752201,127.781134
1.920000e+01,59.762010,128.209076
1.930000e+01,59.771339,128.629018
1.940000e+01,59.780214,129.041094
1.950000e+01,59.788655,129.445440
1.960000e+01,59.796684,129.842186
1.970000e+01,59.804321,130.231464
1.980000e+01,59.811586,130.613402
1.990000e+01,59.818496,130.988128
20,59.825069,131.355768
2.010000e+01,59.831321,131.716446
2.020000e+01,59.837267,132.070283
2.030000e+01,59.842924,132.417401
2.040000e+01,59.848304,132.757919
2.050000e+01,59.853422,133.091954
2.060000e+01,59.858290,133.419621
2.070000e+01,59.862921,133.741035
2.080000e+01,59.867325,134.056309
2.090000e+01,59.871515,134.365552
21,59.875500,134.668874
2.110000e+01,59.879290,134.966383
2.120000e+01,59.882896,135.258183
2.130000e+01,59.886325,135.544379
2.140000e+01,59.889587,135.825074
2.150000e+01,59.892690,136.100369
2.160000e+01,59.895642,136.370361
2.170000e+01,59.898449,136.635151
2.180000e+01,59.901119,136.894832
2.190000e+01,59.903660,137.149500
22,59.906076,137.399249
2.210000e+01,59.908374,137.644168
2.220000e+01,59.910560,137.884349
2.230000e+01,59.912639,138.119879
2.240000e+01,59.914617,138.350847
2.250000e+01,59.916498,138.577336
2.260000e+01,59.918288,138.799431
2.270000e+01,59.919990,139.017214
2.280000e+01,59.921609,139.230768
2.290000e+01,59.923149,139.440171
23,59.924614,139.645502
2.310000e+01,59.926007,139.846838
2.320000e+01,59.927332,140.044254
2.330000e+01,59.928593,140.237825
2.340000e+01,59.929792,140.427624
2.350000e+01,59.930933,140.613723
2.360000e+01,59.932018,140.796192
2.370000e+01,59.933050,140.975100
2.380000e+01,59.934031,141.150515
2.390000e+01,59.934965,141.322505
24,59.877451,141.519521
2.410000e+01,53.746383,144.415375
2.420000e+01,48.368287,146.504487
2.430000e+01,43.622406,147.910448
2.440000e+01,39.434422,148.726263
2.450000e+01,35.738752,149.033638
2.460000e+01,32.477522,148.904315
2.470000e+01,29.599662,148.401255
2.480000e+01,27.060106,147.579682
2.490000e+01,24.819084,146.487998
25,22.841503,145.168599
2.510000e+01,21.096395,143.658588
2.520000e+01,19.556430,141.990404
2.530000e+01,18.197495,140.192385
2.540000e+01,16.998307,138.289254
2.550000e+01,15.940089,136.302551
2.560000e+01,15.006268,134.251020
2.570000e+01,14.182222,132.150941
2.580000e+01,13.455045,130.016430
2.590000e+01,12.813351,127.859700
26,12.247090,125.691288
2.610000e+01,11.747396,123.520267
2.620000e+01,11.306442,121.354417
2.630000e+01,10.917325,119.200386
2.640000e+01,10.573949,117.063833
2.650000e+01,10.270939,114.949544
2.660000e+01,10.003549,112.861546
2.670000e+01,9.767591,110.803199
2.680000e+01,9.559372,108.777280
2.690000e+01,9.375629,106.786059
27,9.213486,104.831362
2.710000e+01,9.070403,102.914629
2.720000e+01,8.944141,101.036964
2.730000e+01,8.832721,99.199182
2.740000e+01,8.734398,97.401841
2.750000e+01,8.647635,95.645285
2.760000e+01,8.571070,93.929667
2.770000e+01,8.503506,92.254981
2.780000e+01,8.443884,90.621079
2.790000e+01,8.391271,89.027698
28,8.344843,87.474473
2.810000e+01,8.303873,85.960953
2.820000e+01,8.267719,84.486619
2.830000e+01,8.235815,83.050891
2.840000e+01,8.207661,81.653140
2.850000e+01,8.182817,80.292698
2.860000e+01,8.160894,78.968865
2.870000e+01,8.141548,77.680916
2.880000e+01,8.124476,76.428110
2.890000e+01,8.109410,75.209688
29,8.096116,74.024885
2.910000e+01,8.084385,72.872931
2.920000e+01,8.074032,71.753053
2.930000e+01,8.064897,70.664479
2.940000e+01,8.056836,69.606443
2.950000e+01,8.049722,68.578181
2.960000e+01,8.043444,67.578940
2.970000e+01,8.037905,66.607973
2.980000e+01,8.033016,65.664547
2.990000e+01,8.028702,64.747936
30,8.024896,63.857429
3.010000e+01,8.021537,62.992327
3.020000e+01,8.018572,62.151945
3.030000e+01,8.015956,61.335611
3.040000e+01,8.013648,60.542666
3.050000e+01,8.011611,59.772469
3.060000e+01,8.009814,59.024390
3.070000e+01,8.008227,58.297815
3.080000e+01,8.006828,57.592144
3.090000e+01,8.005592,56.906792
31,8.004502,56.241188
3.110000e+01,8.003541,55.594777
3.120000e+01,8.002692,54.967015
3.130000e+01,8.001943,54.357375
3.140000e+01,8.001282,53.765343
3.150000e+01,8.000698,53.190416
3.160000e+01,8.000184,52.632109
3.170000e+01,7.999730,52.089946
3.180000e+01,7.999329,51.563466
3.190000e+01,7.998975,51.052220
32,8.022038,50.554675
3.210000e+01,10.570586,50.014244
3.220000e+01,12.980838,49.607529
3.230000e+01,15.273450,49.325237
3.240000e+01,17.454166,49.159225
3.250000e+01,19.528445,49.101787
3.260000e+01,21.501484,49.145635
3.270000e+01,23.378223,49.283876
3.280000e+01,25.163363,49.509990
3.290000e+01,26.861374,49.817816
33,28.476509,50.201528
3.310000e+01,30.012813,50.655623
3.320000e+01,31.474134,51.174901
3.330000e+01,32.864130,51.754450
3.340000e+01,34.186285,52.389634
3.350000e+01,35.443907,53.076076
3.360000e+01,36.640149,53.809645
3.370000e+01,37.778004,54.586444
3.380000e+01,38.860323,55.402798
3.390000e+01,39.889817,56.255243
34,40.869063,57.140514
3.410000e+01,41.800515,58.055534
3.420000e+01,42.686504,58.997407
3.430000e+01,43.529251,59.963407
