Time,CSF,Plasma
1,0.628280,0.227064
2,0.863252,0.474257
3,0.949694,0.603277
4,0.981494,0.659815
5,0.993193,0.682777
6,0.997496,0.691739
7,0.999080,0.695159
8,1.001242,0.696420
9,61.002815,0.168874
10,120.989486,0.047859
11,180.967370,0.023689
12,240.936468,0.022595
13,300.896783,0.026999
14,360.848315,0.032713
15,420.791066,0.038738
16,480.725037,0.044836
17,540.650229,0.050951
18,600.566644,0.057070
19,660.474282,0.063189
20,720.373146,0.069307
21,780.263236,0.075424
22,840.144554,0.081540
23,900.017100,0.087656
24,959.880628,0.094005
25,353.753678,286.689951
26,130.770975,174.109006
27,48.740129,80.743148
28,18.562633,34.016923
29,7.460940,13.877602
30,3.376850,5.765886
31,1.874396,2.614267
32,1.326988,1.414825
33,61.325075,0.340094
34,121.311699,0.088683
35,181.289535,0.033442
36,241.258587,0.024944
37,301.218854,0.027584
38,361.170340,0.032877
39,421.113043,0.038802
40,481.046967,0.044876
41,540.972112,0.050986
42,600.888480,0.057103
43,660.796071,0.063222
44,720.694887,0.069340
45,780.584930,0.075457
46,840.466201,0.081573
47,900.338700,0.087689
48,960.201744,0.094449
49,353.870498,286.785616
50,130.813951,174.166661
51,48.755939,80.769711
52,18.568449,34.027970
53,7.463079,13.881970
54,3.377637,5.767565
55,1.874686,2.614902
56,1.326592,1.415073
57,61.321338,0.340171
58,121.307962,0.088701
59,181.285799,0.033446
60,241.254851,0.024945
61,301.215119,0.027584
62,361.166605,0.032877
63,421.109309,0.038802
64,481.043234,0.044876
65,540.968379,0.050986
66,600.884747,0.057103
67,660.792339,0.063221
68,720.691156,0.069339
69,780.581199,0.075456
70,840.462471,0.081573
71,900.334971,0.087688
72,960.198243,0.094234
73,353.863141,286.783301
74,130.811245,174.163914
75,48.754943,80.768249
76,18.568083,34.027324
77,7.462945,13.881706
78,3.377588,5.767462
79,1.874667,2.614862
80,1.326460,1.415061
81,61.320376,0.340172
82,121.306999,0.088701
83,181.284837,0.033446
84,241.253889,0.024945
85,301.214157,0.027584
86,361.165643,0.032877
87,421.108348,0.038801
88,481.042272,0.044876
89,540.967418,0.050986
90,600.883786,0.057103
91,660.791378,0.063221
92,720.690195,0.069339
93,780.580239,0.075456
94,840.461510,0.081573
95,900.334010,0.087688
96,960.197334,0.094185
97,353.868729,286.784208
98,130.813300,174.165798
99,48.755700,80.769311
100,18.568361,34.027803
101,7.463047,13.881904
102,3.377626,5.767540
103,1.874681,2.614892
104,1.326340,1.415075
105,61.319425,0.340180
106,121.306049,0.088703
107,181.283886,0.033446
108,241.252939,0.024945
109,301.213207,0.027584
110,361.164693,0.032877
111,421.107398,0.038801
112,481.041322,0.044876
113,540.966468,0.050985
114,600.882836,0.057103
115,660.790429,0.063221
116,720.689246,0.069339
117,780.579290,0.075456
118,840.460561,0.081573
119,900.333061,0.087688
120,960.196435,0.094139
121,353.874321,286.785119
122,130.815357,174.167683
123,48.756456,80.770374
124,18.568639,34.028282
125,7.463149,13.882101
126,3.377663,5.767617
127,1.874695,2.614922
128,1.326220,1.415089
129,61.318474,0.340187
130,121.305098,0.088705
131,181.282936,0.033446
132,241.251989,0.024945
133,301.212257,0.027584
134,361.163743,0.032877
135,421.106448,0.038801
136,481.040373,0.044876
137,540.965519,0.050985
138,600.881887,0.057103
139,660.789479,0.063221
140,720.688297,0.069339
141,780.578341,0.075456
142,840.459612,0.081572
143,900.332113,0.087688
144,960.195533,0.094095
145,353.856488,286.781322
146,130.808797,174.161457
147,48.754043,80.766933
148,18.567751,34.026742
149,7.462823,13.881469
150,3.377543,5.767369
151,1.874651,2.614827
152,1.326642,1.415044
153,61.321811,0.340161
154,121.308435,0.088699
155,181.286272,0.033445
156,241.255324,0.024945
157,301.215592,0.027584
158,361.167078,0.032877
159,421.109782,0.038802
160,481.043706,0.044876
161,540.968852,0.050986
162,600.885220,0.057103
163,660.792812,0.063221
164,720.691629,0.069339
165,780.581672,0.075456
166,840.462943,0.081573
167,900.335443,0.087688
168,960.198688,0.094259
169,353.860294,286.782835
170,130.810197,174.162953
171,48.754558,80.767707
172,18.567941,34.027080
173,7.462892,13.881606
174,3.377569,5.767423
175,1.874660,2.614847
176,1.326521,1.415054
177,61.320859,0.340168
178,121.307483,0.088700
179,181.285320,0.033445
180,241.254372,0.024945
181,301.214641,0.027584
182,361.166126,0.032877
183,421.108831,0.038801
184,481.042755,0.044876
185,540.967901,0.050986
186,600.884269,0.057103
187,660.791861,0.063221
188,720.690678,0.069339
189,780.580721,0.075456
190,840.461992,0.081573
191,900.334493,0.087688
192,960.197791,0.094210
193,353.865885,286.783745
194,130.812254,174.164839
195,48.755315,80.768770
196,18.568219,34.027559
197,7.462995,13.881803
198,3.377606,5.767500
199,1.874674,2.614877
200,1.326401,1.415068
201,61.319908,0.340176
202,121.306532,0.088702
203,181.284370,0.033446
204,241.253422,0.024945
205,301.213691,0.027584
206,361.165176,0.032877
207,421.107881,0.038801
208,481.041805,0.044876
209,540.966951,0.050986
210,600.883319,0.057103
211,660.790911,0.063221
212,720.689729,0.069339
213,780.579772,0.075456
214,840.461044,0.081573
215,900.333544,0.087688
216,960.196893,0.094162
217,353.871477,286.784655
