Time,Brain,CSF,Plasma
1.000000e-01,0.658351,0.007787,0.033189
2.000000e-01,1.239946,0.028939,0.125942
3.000000e-01,1.753733,0.060539,0.268938
4.000000e-01,2.207619,0.100141,0.453955
5.000000e-01,2.608587,0.145699,0.673755
6.000000e-01,2.962806,0.195512,0.921977
7.000000e-01,3.275728,0.248175,1.193044
8.000000e-01,3.552166,0.302531,1.482075
9.000000e-01,3.796375,0.357637,1.784812
1,4.012112,0.412732,2.097551
1.100000e+00,4.202696,0.467206,2.417080
1.200000e+00,4.371060,0.520580,2.740625
1.300000e+00,4.519795,0.572482,3.065798
1.400000e+00,4.651190,0.622632,3.390557
1.500000e+00,4.767265,0.670824,3.713163
1.600000e+00,4.869807,0.716918,4.032147
1.700000e+00,4.960394,0.760822,4.346276
1.800000e+00,5.040419,0.802489,4.654528
1.900000e+00,5.111114,0.841905,4.956063
2,5.173568,0.879085,5.250203
2.100000e+00,5.228739,0.914066,5.536412
2.200000e+00,5.277479,0.946899,5.814276
2.300000e+00,5.320536,0.977652,6.083489
2.400000e+00,5.358573,1.006402,6.343838
2.500000e+00,5.392175,1.033230,6.595191
2.600000e+00,5.421859,1.058225,6.837486
2.700000e+00,5.448083,1.081478,7.070718
2.800000e+00,5.471250,1.103080,7.294935
2.900000e+00,5.491715,1.123122,7.510228
3,5.509794,1.141696,7.716723
3.100000e+00,5.525766,1.158890,7.914576
3.200000e+00,5.539875,1.174789,8.103969
3.300000e+00,5.552340,1.189478,8.285103
3.400000e+00,5.563351,1.203036,8.458195
3.500000e+00,5.573078,1.215540,8.623475
3.600000e+00,5.581672,1.227062,8.781182
3.700000e+00,5.589263,1.237672,8.931563
3.800000e+00,5.595970,1.247435,9.074866
3.900000e+00,5.601894,1.256413,9.211344
4,5.607128,1.264663,9.341250
4.100000e+00,5.611751,1.272240,9.464836
4.200000e+00,5.615836,1.279195,9.582351
4.300000e+00,5.619444,1.285576,9.694041
4.400000e+00,5.622632,1.291427,9.800150
4.500000e+00,5.625448,1.296789,9.900913
4.600000e+00,5.627935,1.301702,9.996564
4.700000e+00,5.630133,1.306200,10.087327
4.800000e+00,5.632074,1.310317,10.173423
4.900000e+00,5.633790,1.314084,10.255065
5,5.635305,1.317530,10.332458
5.100000e+00,5.636643,1.320680,10.405802
5.200000e+00,5.637826,1.323559,10.475289
5.300000e+00,5.638870,1.326189,10.541105
5.400000e+00,5.639793,1.328591,10.603427
5.500000e+00,5.640608,1.330785,10.662426
5.600000e+00,5.641328,1.332787,10.718268
5.700000e+00,5.641964,1.334614,10.771108
5.800000e+00,5.642526,1.336281,10.821099
5.900000e+00,5.643023,1.337801,10.868385
6,5.643461,1.339187,10.913103
6.100000e+00,5.643849,1.340451,10.955385
6.200000e+00,5.644191,1.341603,10.995358
6.300000e+00,5.644494,1.342652,11.033140
6.400000e+00,5.644761,1.343608,11.068847
6.500000e+00,5.644997,1.344479,11.102588
6.600000e+00,5.645205,1.345272,11.134466
6.700000e+00,5.645389,1.345994,11.164579
6.800000e+00,5.645552,1.346652,11.193023
6.900000e+00,5.645696,1.347250,11.219886
7,5.645823,1.347794,11.245254
7.100000e+00,5.645935,1.348289,11.269206
7.200000e+00,5.646034,1.348740,11.291819
7.300000e+00,5.646122,1.349150,11.313166
7.400000e+00,5.646199,1.349522,11.333315
7.500000e+00,5.646267,1.349861,11.352333
7.600000e+00,5.646328,1.350169,11.370281
7.700000e+00,5.646381,1.350449,11.387218
7.800000e+00,5.646428,1.350704,11.403199
7.900000e+00,5.646470,1.350935,11.418277
8,5.653375,1.351145,11.429973
8.100000e+00,6.568739,1.356738,11.128876
8.200000e+00,7.434487,1.372495,10.887182
8.300000e+00,8.248202,1.397293,10.701281
8.400000e+00,9.013014,1.430100,10.565887
8.500000e+00,9.731860,1.469973,10.476125
8.600000e+00,10.407503,1.516045,10.427496
8.700000e+00,11.042539,1.567525,10.415854
8.800000e+00,11.639410,1.623689,10.437379
8.900000e+00,12.200408,1.683877,10.488555
9,12.727691,1.747485,10.566148
9.100000e+00,13.223283,1.813964,10.667186
9.200000e+00,13.689090,1.882817,10.788939
9.300000e+00,14.126902,1.953589,10.928905
9.400000e+00,14.538402,2.025870,11.084788
9.500000e+00,14.925170,2.099288,11.254488
9.600000e+00,15.288693,2.173507,11.436084
9.700000e+00,15.630368,2.248225,11.627820
9.800000e+00,15.951509,2.323170,11.828095
9.900000e+00,16.253349,2.398099,12.035453
10,16.537048,2.472793,12.248565
1.010000e+01,16.803696,2.547058,12.466227
1.020000e+01,17.054320,2.620723,12.687347
1.030000e+01,17.289880,2.693634,12.910936
1.040000e+01,17.511283,2.765658,13.136103
1.050000e+01,17.719380,2.836678,13.362044
1.060000e+01,17.914970,2.906592,13.588036
1.070000e+01,18.098805,2.975312,13.813432
1.080000e+01,18.271592,3.042764,14.037654
1.090000e+01,18.433994,3.108884,14.260188
11,18.586635,3.173618,14.480577
1.110000e+01,18.730103,3.236926,14.698418
1.120000e+01,18.864949,3.298771,14.913359
1.130000e+01,18.991690,3.359127,15.125091
1.140000e+01,19.110814,3.417976,15.333348
1.150000e+01,19.222778,3.475304,15.537898
1.160000e+01,19.328013,3.531105,15.738548
1.170000e+01,19.426924,3.585377,15.935135
1.180000e+01,19.519890,3.638123,16.127522
1.190000e+01,19.607269,3.689350,16.315601
12,19.689396,3.739068,16.499287
1.210000e+01,19.766588,3.787291,16.678515
1.220000e+01,19.839140,3.834038,16.853241
1.230000e+01,19.907332,3.879327,17.023438
1.240000e+01,19.971425,3.923179,17.189093
1.250000e+01,20.031667,3.965619,17.350210
1.260000e+01,20.088288,4.006672,17.506803
1.270000e+01,20.141506,4.046364,17.658900
1.280000e+01,20.191525,4.084723,17.806536
1.290000e+01,20.238538,4.121778,17.949757
13,20.282726,4.157558,18.088616
1.310000e+01,20.324258,4.192094,18.223173
1.320000e+01,20.363294,4.225417,18.353493
1.330000e+01,20.399984,4.257556,18.479649
1.340000e+01,20.434469,4.288544,18.601715
1.350000e+01,20.466881,4.318411,18.719771
1.360000e+01,20.497346,4.347189,18.833900
1.370000e+01,20.525979,4.374908,18.944186
1.380000e+01,20.552892,4.401600,19.050716
1.390000e+01,20.578187,4.427295,19.153579
14,20.601962,4.452023,19.252864
1.410000e+01,20.624308,4.475815,19.348664
1.420000e+01,20.645311,4.498700,19.441067
1.430000e+01,20.665051,4.520706,19.530167
1.440000e+01,20.683605,4.541863,19.616053
1.450000e+01,20.701045,4.562198,19.698818
1.460000e+01,20.717436,4.581739,19.778550
