Iteration,Loss
1,0.132567
2,0.132567
3,0.133085
4,0.132567
5,0.131454
6,0.131455
7,0.131220
8,0.131312
9,0.131184
10,0.131312
11,0.131183
12,0.131311
13,0.131221
14,0.131184
15,0.131240
16,0.131174
17,0.131240
18,0.131272
19,0.131174
20,0.131374
21,0.131241
22,0.131174
23,0.131272
24,0.131184
25,0.131174
26,0.131220
27,0.131174
28,0.131243
29,0.131174
30,0.131270
31,0.131185
32,0.131174
33,0.131218
34,0.132985
35,0.131171
36,0.131210
37,0.131171
38,0.131277
39,0.131171
40,0.131276
41,0.131248
42,0.131171
43,0.131208
44,0.131193
45,0.131171
46,0.131276
47,0.131248
48,0.131171
49,0.131208
50,0.131171
51,0.131193
52,0.131171
53,0.132941
54,0.131183
55,0.131171
56,0.131203
57,0.131153
58,0.131194
59,0.131153
60,0.131167
61,0.131153
62,0.133268
63,0.131205
64,0.131168
65,0.131153
66,0.131223
67,0.131153
68,0.131168
69,0.131153
70,0.131189
71,0.131153
72,0.131229
73,0.131153
74,0.131231
75,0.131168
76,0.131153
77,0.131188
78,0.131152
79,0.131230
80,0.131153
81,0.131230
82,0.131169
83,0.131153
84,0.131187
85,0.133328
86,0.131208
87,0.131153
88,0.131153
89,0.131272
90,0.131165
91,0.131384
92,0.131174
93,0.131151
94,0.131160
95,0.131151
96,0.131245
97,0.131157
98,0.131396
99,0.131170
100,0.131153
101,0.131151
102,0.131174
103,0.131150
104,0.131160
105,0.131150
106,0.131182
107,0.131150
108,0.131247
109,0.131150
110,0.131203
111,0.131181
112,0.131150
113,0.131247
114,0.131203
115,0.131150
116,0.131181
117,0.131150
118,0.131170
119,0.131150
120,0.133326
121,0.131187
122,0.131159
123,0.131150
124,0.131181
125,0.131170
126,0.131150
127,0.133326
128,0.131187
129,0.131159
130,0.131150
131,0.131275
132,0.131155
133,0.131150
134,0.131379
135,0.131158
136,0.131153
137,0.131150
138,0.131188
139,0.131151
140,0.131150
141,0.131192
142,0.131151
143,0.131151
144,0.131150
145,0.131161
146,0.131150
147,0.131151
148,0.131150
149,0.131155
150,0.131287
151,0.131158
152,0.131150
153,0.131373
154,0.131159
155,0.131151
156,0.131150
157,0.131194
158,0.131152
159,0.131150
160,0.131187
161,0.131151
162,0.131150
163,0.131150
164,0.131164
165,0.131151
166,0.131150
167,0.131151
168,0.131150
169,0.131194
170,0.131152
171,0.131150
172,0.131155
173,0.131150
174,0.131287
175,0.131158
176,0.131150
177,0.131373
178,0.131159
179,0.131151
180,0.131150
181,0.131194
182,0.131152
183,0.131150
184,0.131187
185,0.131151
186,0.131150
187,0.131150
188,0.131164
189,0.131151
190,0.131150
191,0.131155
192,0.131150
193,0.131150
194,0.131150
195,0.131150
196,0.131162
197,0.131150
198,0.131150
199,0.131157
200,0.131150
201,0.131151
202,0.131150
203,0.131184
204,0.131152
205,0.131150
206,0.131195
207,0.131154
208,0.131150
209,0.131150
210,0.131159
211,0.131150
212,0.131150
213,0.131150
214,0.131160
215,0.131151
216,0.131150
217,0.131150
218,0.131152
219,0.131149
220,0.131150
221,0.131149
222,0.131160
223,0.131150
224,0.131149
225,0.131158
226,0.131150
227,0.131150
228,0.131149
