Time,CSF,Plasma
1,-0.005120,-0.006095
2,-0.001893,-0.003226
3,0.000065,-0.001400
4,0.001252,-0.000261
5,0.001972,0.000441
6,0.002409,0.000872
7,0.002674,0.001134
8,0.002841,0.001294
9,9.520320,0.355750
10,18.130601,1.053880
11,25.921505,1.824415
12,32.971008,2.572699
13,39.349661,3.268566
14,45.121306,3.905124
15,50.343706,4.483649
16,55.069130,5.008055
17,59.344870,5.482901
18,63.213720,5.912687
19,66.714400,6.301620
20,69.881947,6.653558
21,72.748062,6.972011
22,75.341430,7.260161
23,77.688007,7.520892
24,79.807717,7.759521
25,48.406451,21.901065
26,29.361210,19.609459
27,17.809687,14.221252
28,10.803334,9.482254
29,6.553766,6.066797
30,3.976273,3.796155
31,2.412944,2.345710
32,1.465636,1.438980
33,10.842643,0.971830
34,19.327088,1.359416
35,27.004131,2.008200
36,33.950608,2.704902
37,40.236040,3.375645
38,45.923335,3.997399
39,51.069412,4.565446
40,55.725776,5.081443
41,59.939028,5.549076
42,63.751336,5.972480
43,67.200856,6.355692
44,70.322110,6.702473
45,73.146338,7.016267
46,75.701805,7.300204
47,78.014088,7.557123
48,80.102757,7.792315
49,48.585400,21.983541
50,29.469748,19.682507
51,17.875518,14.274027
52,10.843263,9.517380
53,6.577984,6.089248
54,3.990962,3.810194
55,2.421853,2.354380
56,1.471040,1.444296
57,10.847532,0.974108
58,19.331512,1.360546
59,27.008135,2.008879
60,33.954231,2.705391
61,40.239318,3.376041
62,45.926301,3.997741
63,51.072096,4.565748
64,55.728204,5.081715
65,59.941225,5.549321
66,63.753324,5.972701
67,67.202655,6.355892
68,70.323738,6.702654
69,73.147811,7.016430
70,75.703138,7.300352
71,78.015293,7.557257
72,80.103848,7.792436
73,48.586062,21.983846
74,29.470149,19.682777
75,17.875762,14.274223
76,10.843410,9.517509
77,6.578074,6.089331
78,3.991016,3.810246
79,2.421886,2.354412
80,1.471060,1.444315
81,10.847551,0.974116
82,19.331529,1.360550
83,27.008150,2.008882
84,33.954244,2.705393
85,40.239330,3.376043
86,45.926312,3.997742
87,51.072106,4.565749
88,55.728213,5.081716
89,59.941233,5.549322
90,63.753332,5.972702
91,67.202661,6.355892
92,70.323744,6.702654
93,73.147816,7.016431
94,75.703143,7.300353
95,78.015298,7.557258
96,80.103852,7.792437
97,48.586065,21.983847
98,29.470151,19.682778
99,17.875763,14.274223
100,10.843411,9.517510
101,6.578074,6.089332
102,3.991016,3.810246
103,2.421887,2.354412
104,1.471060,1.444316
105,10.847551,0.974116
106,19.331529,1.360550
107,27.008150,2.008882
108,33.954244,2.705393
109,40.239330,3.376043
110,45.926312,3.997742
111,51.072106,4.565749
112,55.728213,5.081716
113,59.941233,5.549322
114,63.753332,5.972702
115,67.202661,6.355892
116,70.323744,6.702654
117,73.147816,7.016431
118,75.703143,7.300353
119,78.015298,7.557258
120,80.103852,7.792437
121,48.586065,21.983847
122,29.470151,19.682778
123,17.875763,14.274223
124,10.843411,9.517510
125,6.578074,6.089332
126,3.991016,3.810246
127,2.421887,2.354412
128,1.471060,1.444316
129,10.847551,0.974116
130,19.331529,1.360550
131,27.008150,2.008882
132,33.954244,2.705393
133,40.239330,3.376043
134,45.926312,3.997742
135,51.072106,4.565749
136,55.728213,5.081716
137,59.941233,5.549322
138,63.753332,5.972702
139,67.202661,6.355892
140,70.323744,6.702654
141,73.147816,7.016431
142,75.703143,7.300353
143,78.015298,7.557258
144,80.103852,7.792437
145,48.586065,21.983847
146,29.470151,19.682778
147,17.875763,14.274223
148,10.843411,9.517510
149,6.578074,6.089332
150,3.991016,3.810246
151,2.421887,2.354412
152,1.471060,1.444316
153,10.847551,0.974116
154,19.331529,1.360550
155,27.008150,2.008882
156,33.954244,2.705393
157,40.239330,3.376043
158,45.926312,3.997742
159,51.072106,4.565749
160,55.728213,5.081716
161,59.941233,5.549322
162,63.753332,5.972702
163,67.202661,6.355892
164,70.323744,6.702654
165,73.147816,7.016431
166,75.703143,7.300353
167,78.015298,7.557258
168,80.103852,7.792437
169,48.586065,21.983847
170,29.470151,19.682778
171,17.875763,14.274223
172,10.843411,9.517510
173,6.578074,6.089332
174,3.991016,3.810246
175,2.421887,2.354412
176,1.471060,1.444316
177,10.847551,0.974116
178,19.331529,1.360550
179,27.008150,2.008882
