Time,Brain,CSF,Plasma
1.250000e+01,7.280492,19.222947,29.851759
1.260000e+01,7.280987,19.317312,30.058022
1.270000e+01,7.281415,19.409361,30.261546
1.280000e+01,7.281786,19.499146,30.462337
1.290000e+01,7.282106,19.586719,30.660404
13,7.282384,19.672132,30.855756
1.310000e+01,7.282625,19.755435,31.048405
1.320000e+01,7.282833,19.836679,31.238364
1.330000e+01,7.283014,19.915912,31.425646
1.340000e+01,7.283170,19.993183,31.610265
1.350000e+01,7.283305,20.068538,31.792239
1.360000e+01,7.283422,20.142024,31.971584
1.370000e+01,7.283523,20.213686,32.148317
1.380000e+01,7.283611,20.283569,32.322458
1.390000e+01,7.283687,20.351715,32.494025
14,7.283752,20.418168,32.663039
1.410000e+01,7.283809,20.482968,32.829520
1.420000e+01,7.283859,20.546157,32.993490
1.430000e+01,7.283901,20.607773,33.154971
1.440000e+01,7.283938,20.667857,33.313985
1.450000e+01,7.283970,20.726444,33.470554
1.460000e+01,7.283998,20.783573,33.624703
1.470000e+01,7.284022,20.839280,33.776454
1.480000e+01,7.284043,20.893599,33.925832
1.490000e+01,7.284061,20.946565,34.072860
15,7.284076,20.998212,34.217564
1.510000e+01,7.284090,21.048572,34.359967
1.520000e+01,7.284101,21.097677,34.500096
1.530000e+01,7.284111,21.145558,34.637975
1.540000e+01,7.284120,21.192247,34.773629
1.550000e+01,7.284128,21.237771,34.907084
1.560000e+01,7.284134,21.282161,35.038366
1.570000e+01,7.284140,21.325445,35.167500
1.580000e+01,7.284145,21.367649,35.294512
1.590000e+01,7.284149,21.408802,35.419428
16,7.284153,21.448929,35.542273
1.610000e+01,7.284156,21.488055,35.663073
1.620000e+01,7.284159,21.526206,35.781855
1.630000e+01,7.284161,21.563406,35.898644
1.640000e+01,7.284163,21.599678,36.013465
1.650000e+01,7.284165,21.635046,36.126344
1.660000e+01,7.284166,21.669532,36.237308
1.670000e+01,7.284168,21.703158,36.346382
1.680000e+01,7.284169,21.735946,36.453590
1.690000e+01,7.284170,21.767916,36.558959
17,7.284171,21.799090,36.662514
1.710000e+01,7.284172,21.829486,36.764280
1.720000e+01,7.284172,21.859124,36.864281
1.730000e+01,7.284173,21.888023,36.962544
1.740000e+01,7.284173,21.916201,37.059092
1.750000e+01,7.284174,21.943677,37.153950
1.760000e+01,7.284174,21.970467,37.247143
1.770000e+01,7.284174,21.996590,37.338695
1.780000e+01,7.284175,22.022061,37.428630
1.790000e+01,7.284175,22.046897,37.516971
18,7.284175,22.071114,37.603743
1.810000e+01,7.284175,22.094727,37.688969
1.820000e+01,7.284175,22.117751,37.772672
1.830000e+01,7.284176,22.140201,37.854876
1.840000e+01,7.284176,22.162091,37.935602
1.850000e+01,7.284176,22.183436,38.014875
1.860000e+01,7.284176,22.204248,38.092716
1.870000e+01,7.284176,22.224541,38.169148
1.880000e+01,7.284176,22.244328,38.244192
1.890000e+01,7.284176,22.263622,38.317871
19,7.284176,22.282434,38.390206
1.910000e+01,7.284176,22.300778,38.461218
1.920000e+01,7.284176,22.318664,38.530928
1.930000e+01,7.284176,22.336104,38.599358
1.940000e+01,7.284176,22.353109,38.666528
1.950000e+01,7.284176,22.369690,38.732458
1.960000e+01,7.284176,22.385858,38.797169
1.970000e+01,7.284176,22.401622,38.860680
1.980000e+01,7.284176,22.416994,38.923011
1.990000e+01,7.284176,22.431982,38.984181
20,7.284176,22.446596,39.044211
2.010000e+01,7.284176,22.460846,39.103118
2.020000e+01,7.284176,22.474740,39.160922
2.030000e+01,7.284176,22.488288,39.217641
2.040000e+01,7.284176,22.501499,39.273293
2.050000e+01,7.284176,22.514379,39.327896
2.060000e+01,7.284176,22.526939,39.381468
2.070000e+01,7.284176,22.539185,39.434027
2.080000e+01,7.284176,22.551126,39.485590
2.090000e+01,7.284176,22.562770,39.536174
21,7.284176,22.574123,39.585796
2.110000e+01,7.284176,22.585193,39.634472
2.120000e+01,7.284176,22.595986,39.682218
2.130000e+01,7.284176,22.606511,39.729052
2.140000e+01,7.284176,22.616773,39.774989
2.150000e+01,7.284176,22.626779,39.820044
2.160000e+01,7.284176,22.636536,39.864233
2.170000e+01,7.284176,22.646050,39.907571
2.180000e+01,7.284176,22.655326,39.950074
2.190000e+01,7.284176,22.664371,39.991756
22,7.284176,22.673190,40.032631
2.210000e+01,7.284176,22.681790,40.072714
2.220000e+01,7.284176,22.690175,40.112019
2.230000e+01,7.284176,22.698351,40.150561
2.240000e+01,7.284176,22.706323,40.188352
2.250000e+01,7.284176,22.714096,40.225406
2.260000e+01,7.284176,22.721675,40.261737
2.270000e+01,7.284176,22.729066,40.297358
2.280000e+01,7.284176,22.736272,40.332281
2.290000e+01,7.284176,22.743298,40.366519
23,7.284176,22.750149,40.400085
2.310000e+01,7.284176,22.756830,40.432991
2.320000e+01,7.284176,22.763344,40.465249
2.330000e+01,7.284176,22.769695,40.496871
2.340000e+01,7.284176,22.775888,40.527869
2.350000e+01,7.284176,22.781927,40.558254
2.360000e+01,7.284176,22.787814,40.588037
2.370000e+01,7.284176,22.793556,40.617230
2.380000e+01,7.284176,22.799154,40.645844
2.390000e+01,7.284176,22.804612,40.673889
24,7.281660,22.809934,40.701361
2.410000e+01,6.959737,22.802126,40.715456
2.420000e+01,6.679132,22.771198,40.709143
2.430000e+01,6.436127,22.720843,40.685043
2.440000e+01,6.225683,22.654240,40.645429
2.450000e+01,6.043439,22.574128,40.592289
2.460000e+01,5.885614,22.482865,40.527359
2.470000e+01,5.748938,22.382482,40.452156
2.480000e+01,5.630576,22.274721,40.368011
2.490000e+01,5.528074,22.161081,40.276087
25,5.439307,22.042846,40.177409
2.510000e+01,5.362434,21.921117,40.072872
2.520000e+01,5.295862,21.796834,39.963266
2.530000e+01,5.238211,21.670801,39.849287
2.540000e+01,5.188284,21.543702,39.731545
2.550000e+01,5.145048,21.416119,39.610583
2.560000e+01,5.107605,21.288545,39.486878
2.570000e+01,5.075179,21.161397,39.360852
2.580000e+01,5.047099,21.035024,39.232881
2.590000e+01,5.022781,20.909721,39.103298
26,5.001721,20.785732,38.972399
2.610000e+01,4.983484,20.663259,38.840448
2.620000e+01,4.967690,20.542469,38.707680
2.630000e+01,4.954012,20.423495,38.574307
2.640000e+01,4.942168,20.306446,38.440516
2.650000e+01,4.931910,20.191406,38.306476
2.660000e+01,4.923027,20.078441,38.172340
2.670000e+01,4.915334,19.967598,38.038245
2.680000e+01,4.908672,19.858912,37.904313
2.690000e+01,4.902903,19.752403,37.770655
27,4.897907,19.648084,37.637373
2.710000e+01,4.893580,19.545955,37.504556
2.720000e+01,4.889833,19.446011,37.372288
2.730000e+01,4.886588,19.348242,37.240644
2.740000e+01,4.883778,19.252629,37.109690
2.750000e+01,4.881344,19.159151,36.979489
2.760000e+01,4.879237,19.067783,36.850098
2.770000e+01,4.877412,18.978498,36.721565
2.780000e+01,4.875831,18.891264,36.593939
2.790000e+01,4.874463,18.806048,36.467261
28,4.873277,18.722818,36.341570
2.810000e+01,4.872251,18.641536,36.216900
2.820000e+01,4.871362,18.562168,36.093283
