Iteration,Loss
1,0.131648
2,0.131639
3,0.131641
4,0.131648
5,0.131664
6,0.131643
7,0.131577
8,0.131581
9,NaN
10,0.131585
11,0.131621
12,0.131550
13,0.131558
14,0.131586
15,NaN
16,0.131557
17,0.131597
18,0.131553
19,0.131752
20,0.131511
21,0.131597
22,0.131521
23,0.131554
24,NaN
25,0.131516
26,0.131550
27,0.131515
28,0.131704
29,0.131540
30,0.132059
31,0.131619
32,0.131511
33,0.131598
34,0.131515
35,0.131556
36,NaN
37,0.131550
38,0.131511
39,0.131700
40,0.131541
41,0.132010
42,0.131620
43,0.131516
44,0.131529
45,0.131492
46,0.131532
47,0.131493
48,0.131686
49,0.131527
50,0.132014
51,0.131616
52,0.131496
53,0.131511
54,0.131442
55,0.131481
56,0.131442
57,0.131604
58,0.131483
59,0.131941
60,0.131446
61,0.131561
62,0.131460
63,0.131441
64,0.131480
65,0.131444
66,0.131608
67,0.131482
68,0.131962
69,0.131443
70,0.131560
71,0.131460
72,0.131442
73,0.131499
74,0.131427
75,0.131460
76,0.131429
77,0.131594
78,0.131468
79,0.131910
80,0.131427
81,0.131545
82,0.131441
83,0.131428
84,0.131484
85,0.131448
86,0.131584
87,0.131427
88,0.131460
89,0.131428
90,0.131589
91,0.131468
92,0.131893
93,0.131429
94,0.131545
95,0.131442
96,0.131427
97,0.131482
98,0.131448
99,0.131585
100,0.131427
101,0.131476
102,0.131410
103,0.131425
104,0.131409
105,0.131442
106,0.131410
107,0.131530
108,0.131451
109,0.131894
110,0.131411
111,0.131516
112,0.131424
113,0.131410
114,0.131451
115,0.131431
116,0.131567
117,0.131410
118,0.131452
119,0.131416
120,0.131485
121,0.131356
122,0.131365
123,0.131355
124,0.131377
125,0.131352
126,0.131410
127,0.131940
128,0.131450
129,0.131357
130,0.131405
131,0.131377
132,0.131350
133,0.131413
134,0.131974
135,0.131452
136,0.131403
137,0.131355
138,0.131378
139,0.131488
140,0.131403
141,0.131692
142,0.131453
143,0.131352
144,0.131363
145,0.131398
146,0.131377
147,0.131487
148,0.131393
149,0.131351
150,0.131356
151,0.131429
152,0.131370
153,0.131345
154,0.131356
155,0.131393
156,0.131372
157,0.131478
158,0.131388
159,0.131346
160,0.131350
161,0.131421
162,0.131365
163,0.131358
164,0.131407
165,0.131299
166,0.131308
167,0.131344
168,0.131326
169,0.131426
170,0.131339
171,0.131301
172,0.131303
173,0.131363
174,0.131318
175,0.131312
176,0.131357
177,0.131345
178,0.131317
179,0.131300
180,0.131292
181,0.131296
182,0.131355
183,0.131308
184,0.131305
185,0.131350
186,0.131337
187,0.131308
188,0.131293
189,0.131294
190,0.131322
191,0.131266
192,0.131270
193,0.131326
194,0.131282
195,0.131280
196,0.131319
197,0.131309
198,0.131282
199,0.131268
200,0.131268
201,0.131295
202,0.131273
203,0.131265
204,0.131268
205,0.131324
206,0.131280
207,0.131278
208,0.131317
209,0.131306
210,0.131280
211,0.131267
212,0.131266
213,0.131293
214,0.131272
215,0.131271
216,0.131290
217,0.131284
218,0.131272
219,0.131266
220,0.131266
221,0.131261
222,0.131263
223,0.131290
224,0.131269
225,0.131268
226,0.131286
227,0.131281
228,0.131269
229,0.131262
230,0.131262
231,0.131275
232,0.131265
233,0.131265
234,0.131274
235,0.131271
236,0.131265
237,0.131262
238,0.131262
239,0.131260
240,0.131261
241,0.131274
242,0.131263
243,0.131272
244,0.131263
245,0.131269
246,0.131263
247,0.131260
248,0.131260
249,0.131267
250,0.131262
251,0.131259
252,0.131273
253,0.131263
254,0.131272
255,0.131260
256,0.131263
257,0.131269
258,0.131263
259,0.131260
260,0.131266
261,0.131261
262,0.131253
263,0.131266
264,0.131256
265,0.131265
266,0.131253
267,0.131256
268,0.131262
269,0.131256
270,0.131253
271,0.131259
272,0.131254
273,0.131259
274,0.131253
275,0.131254
276,0.131257
277,0.131254
278,0.131253
279,0.131252
280,0.131259
281,0.131254
282,0.131258
283,0.131252
284,0.131254
285,0.131256
286,0.131254
287,0.131252
288,0.131255
289,0.131249
290,0.131256
291,0.131251
292,0.131255
293,0.131249
294,0.131251
295,0.131253
296,0.131251
297,0.131249
298,0.131252
299,0.131250
300,0.131246
301,0.131252
302,0.131247
303,0.131252
304,0.131246
305,0.131247
306,0.131250
307,0.131247
308,0.131246
309,0.131249
310,0.131247
311,0.131249
312,0.131246
313,0.131247
314,0.131248
315,0.131247
316,0.131246
317,0.131246
318,0.131249
319,0.131248
320,0.131246
321,0.131246
322,0.131246
323,0.131248
324,0.131246
325,0.131246
326,0.131247
327,0.131244
328,0.131247
329,0.131244
330,0.131245
331,0.131245
332,0.131246
333,0.131247
334,0.131245
335,0.131244
336,0.131246
337,0.131244
338,0.131245
339,0.131244
340,0.131247
341,0.131244
342,0.131245
343,0.131245
344,0.131246
345,0.131247
346,0.131245
347,0.131244
348,0.131246
349,0.131244
350,0.131244
351,0.131244
352,0.131245
353,0.131245
354,0.131244
355,0.131244
356,0.131245
357,0.131244
358,0.131244
359,0.131245
360,0.131244
361,0.131244
362,0.131244
363,0.131245
364,0.131245
365,0.131244
366,0.131244
367,0.131245
368,0.131244
369,0.131244
370,0.131244
371,0.131245
372,0.131244
373,0.131244
374,0.131244
375,0.131245
376,0.131245
377,0.131244
378,0.131244
379,0.131245
380,0.131244
381,0.131244
382,0.131244
383,0.131244
384,0.131244
385,0.131244
386,0.131244
387,0.131244
388,0.131243
389,0.131244
390,0.131243
391,0.131244
392,0.131244
393,0.131244
394,0.131244
395,0.131244
396,0.131243
397,0.131244
398,0.131243
399,0.131243
400,0.131244
401,0.131243
402,0.131244
403,0.131244
404,0.131244
405,0.131244
406,0.131244
407,0.131243
408,0.131244
409,0.131243
410,0.131243
411,0.131243
412,0.131244
413,0.131243
414,0.131243
415,0.131243
416,0.131244
417,0.131244
418,0.131243
419,0.131243
420,0.131244
421,0.131243
422,0.131243
423,0.131243
424,0.131244
425,0.131244
426,0.131243
427,0.131243
428,0.131243
429,0.131243
430,0.131243
431,0.131243
432,0.131243
433,0.131243
434,0.131243
435,0.131243
436,0.131243
437,0.131243
438,0.131243
439,0.131243
440,0.131243
441,0.131243
442,0.131243
443,0.131243
444,0.131243
445,0.131243
446,0.131243
447,0.131243
448,0.131243
449,0.131243
450,0.131243
451,0.131243
452,0.131243
453,0.131243
454,0.131243
455,0.131243
456,0.131243
457,0.131243
458,0.131243
459,0.131243
460,0.131243
461,0.131243
462,0.131243
463,0.131243
464,0.131243
465,0.131243
466,0.131243
467,0.131243
468,0.131243
469,0.131243
470,0.131243
471,0.131243
472,0.131243
473,0.131243
474,0.131243
475,0.131243
476,0.131243
477,0.131243
478,0.131243
479,0.131243
480,0.131243
481,0.131243
482,0.131243
483,0.131243
484,0.131243
485,0.131243
486,0.131243
487,0.131243
488,0.131243
489,0.131243
490,0.131243
491,0.131243
492,0.131243
493,0.131243
494,0.131243
495,0.131243
496,0.131243
497,0.131243
498,0.131243
499,0.131243
500,0.131243
