Time,CSF,Plasma
1,-0.003992,-0.005873
2,-0.000080,-0.002652
3,0.002293,-0.000534
4,0.003732,0.000811
5,0.004605,0.001650
6,0.005135,0.002167
7,0.005456,0.002483
8,0.005664,0.002676
9,19.040631,0.711531
10,36.261193,2.107771
11,51.843002,3.648833
12,65.942007,5.145400
13,78.699315,6.537131
14,90.242606,7.810247
15,100.687407,8.967297
16,110.138255,10.016109
17,118.689736,10.965802
18,126.427436,11.825374
19,133.428797,12.603239
20,139.763891,13.307115
21,145.496121,13.944021
22,150.682857,14.520322
23,155.376011,15.041783
24,159.615426,15.519047
25,96.812787,43.802115
26,58.722265,39.218868
27,35.619196,28.442432
28,21.606476,18.964422
29,13.107332,12.133501
30,7.952340,7.592211
31,4.825679,4.691317
32,2.931063,2.877856
33,21.685106,1.943609
34,38.654013,2.718803
35,54.008116,4.016379
36,67.901083,5.409788
37,80.471961,6.751276
38,91.846562,7.994787
39,102.138726,9.130880
40,111.451463,10.162877
41,119.877975,11.098144
42,127.502600,11.944952
43,134.401645,12.711376
44,140.644161,13.404939
45,146.292622,14.032527
46,151.403561,14.600403
47,156.028131,15.114241
48,160.205468,15.584630
49,97.170663,43.967057
50,58.939328,39.364954
51,35.750851,28.547976
52,21.686329,19.034669
53,13.155765,12.178400
54,7.981716,7.620287
55,4.843497,4.708657
56,2.941871,2.888487
57,21.694885,1.948165
58,38.662862,2.721062
59,54.016122,4.017738
60,67.908328,5.410765
61,80.478516,6.752068
62,91.852493,7.995469
63,102.144093,9.131485
64,111.456319,10.163420
65,119.882369,11.098633
66,127.506576,11.945394
67,134.405243,12.711776
68,140.647416,13.405300
69,146.295567,14.032854
70,151.406227,14.600699
71,156.030542,15.114509
72,160.207650,15.584873
73,97.171986,43.967667
74,58.940130,39.365495
75,35.751338,28.548367
76,21.686624,19.034929
77,13.155944,12.178566
78,7.981825,7.620391
79,4.843563,4.708721
80,2.941911,2.888526
81,21.694921,1.948182
82,38.662894,2.721070
83,54.016152,4.017743
84,67.908355,5.410769
85,80.478540,6.752071
86,91.852515,7.995471
87,102.144113,9.131487
88,111.456337,10.163422
89,119.882386,11.098635
90,127.506590,11.945396
91,134.405256,12.711777
92,140.647428,13.405302
93,146.295578,14.032856
94,151.406236,14.600700
95,156.030551,15.114510
96,160.207658,15.584873
97,97.171991,43.967669
98,58.940133,39.365497
99,35.751339,28.548368
100,21.686625,19.034930
101,13.155944,12.178567
102,7.981825,7.620392
103,4.843563,4.708721
104,2.941911,2.888526
105,21.694921,1.948182
106,38.662894,2.721070
107,54.016152,4.017743
108,67.908355,5.410769
109,80.478540,6.752071
110,91.852515,7.995471
111,102.144113,9.131487
112,111.456337,10.163422
113,119.882386,11.098635
114,127.506590,11.945396
115,134.405256,12.711777
116,140.647428,13.405302
117,146.295578,14.032856
118,151.406236,14.600700
119,156.030551,15.114510
120,160.207658,15.584873
121,97.171991,43.967669
122,58.940133,39.365497
123,35.751339,28.548368
124,21.686625,19.034930
125,13.155944,12.178567
126,7.981825,7.620392
127,4.843563,4.708721
128,2.941911,2.888526
129,21.694921,1.948182
130,38.662894,2.721070
131,54.016152,4.017743
132,67.908355,5.410769
133,80.478540,6.752071
134,91.852515,7.995471
135,102.144113,9.131487
136,111.456337,10.163422
137,119.882386,11.098635
138,127.506590,11.945396
139,134.405256,12.711777
140,140.647428,13.405302
141,146.295578,14.032856
142,151.406236,14.600700
143,156.030551,15.114510
144,160.207658,15.584873
145,97.171991,43.967669
146,58.940133,39.365497
147,35.751339,28.548368
148,21.686625,19.034930
149,13.155944,12.178567
150,7.981825,7.620392
151,4.843563,4.708721
152,2.941911,2.888526
153,21.694921,1.948182
154,38.662894,2.721070
155,54.016152,4.017743
156,67.908355,5.410769
157,80.478540,6.752071
158,91.852515,7.995471
159,102.144113,9.131487
160,111.456337,10.163422
161,119.882386,11.098635
162,127.506590,11.945396
163,134.405256,12.711777
164,140.647428,13.405302
165,146.295578,14.032856
166,151.406236,14.600700
167,156.030551,15.114510
168,160.207658,15.584873
169,97.171991,43.967669
170,58.940133,39.365497
171,35.751339,28.548368
172,21.686625,19.034930
173,13.155944,12.178567
174,7.981825,7.620392
175,4.843563,4.708721
176,2.941911,2.888526
177,21.694921,1.948182
178,38.662894,2.721070
179,54.016152,4.017743
180,67.908355,5.410769
181,80.478540,6.752071
182,91.852515,7.995471
183,102.144113,9.131487
184,111.456337,10.163422
185,119.882386,11.098635
186,127.506590,11.945396
187,134.405256,12.711777
188,140.647428,13.405302
189,146.295578,14.032856
190,151.406236,14.600700
191,156.030551,15.114510
192,160.207658,15.584873
193,97.171991,43.967669
194,58.940133,39.365497
195,35.751339,28.548368
196,21.686625,19.034930
197,13.155944,12.178567
198,7.981825,7.620392
199,4.843563,4.708721
200,2.941911,2.888526
201,21.694921,1.948182
202,38.662894,2.721070
203,54.016152,4.017743
204,67.908355,5.410769
205,80.478540,6.752071
206,91.852515,7.995471
207,102.144113,9.131487
208,111.456337,10.163422
209,119.882386,11.098635
210,127.506590,11.945396
211,134.405256,12.711777
212,140.647428,13.405302
213,146.295578,14.032856
214,151.406236,14.600700
215,156.030551,15.114510
216,160.207658,15.584873
217,97.171991,43.967669
218,58.940133,39.365497
219,35.751339,28.548368
220,21.686625,19.034930
221,13.155944,12.178567
222,7.981825,7.620392
223,4.843563,4.708721
224,2.941911,2.888526
225,21.694921,1.948182
226,38.662894,2.721070
227,54.016152,4.017743
228,67.908355,5.410769
229,80.478540,6.752071
230,91.852515,7.995471
231,102.144113,9.131487
232,111.456337,10.163422
233,119.882386,11.098635
234,127.506590,11.945396
235,134.405256,12.711777
236,140.647428,13.405302
237,146.295578,14.032856
238,151.406236,14.600700
239,156.030551,15.114510
240,160.207658,15.584873
