Iteration,Loss
1,0.131470
2,0.131458
3,0.131457
4,0.131470
5,0.131458
6,0.131455
7,0.131461
8,0.131455
9,0.131446
10,0.131452
11,0.131466
12,0.131446
13,0.131451
14,0.131449
15,0.131455
16,0.131811
17,0.131445
18,0.131452
19,0.131465
20,0.131449
21,0.131446
22,0.131450
23,0.131448
24,0.131454
25,0.131811
26,0.131446
27,0.131441
28,0.131442
29,0.131447
30,0.131444
31,0.131450
32,0.131825
33,0.131442
34,0.131441
35,0.131444
36,0.131443
37,0.131445
38,0.131577
39,0.131442
40,0.131440
41,0.131440
42,0.131443
43,0.131442
44,0.131444
45,0.131580
46,0.131440
47,0.131440
48,0.131440
49,0.131442
50,0.131441
51,0.131444
52,0.131581
53,0.131440
54,0.131505
55,0.131372
56,0.131372
57,0.131382
58,0.131379
59,0.131392
60,0.131668
61,0.131373
62,0.131371
63,0.131382
64,0.131378
65,0.131392
66,0.131663
67,0.131372
68,0.131376
69,0.131374
70,0.131381
71,0.131509
72,0.131372
73,0.131438
74,0.131373
75,0.131373
76,0.131376
77,0.131440
78,0.131333
79,0.131339
80,0.131336
81,0.131345
82,0.131474
83,0.131333
84,0.131387
85,0.131336
86,0.131335
87,0.131339
88,0.131401
89,0.131371
90,0.131333
91,0.131331
92,0.131386
93,0.131334
94,0.131333
95,0.131337
96,0.131400
97,0.131370
98,0.131331
99,0.131358
100,0.131299
101,0.131352
102,0.131302
103,0.131301
104,0.131306
105,0.131365
106,0.131336
107,0.131299
108,0.131324
109,0.131301
110,0.131300
111,0.131302
112,0.131331
113,0.131316
114,0.131299
115,0.131297
116,0.131323
117,0.131299
118,0.131298
119,0.131301
120,0.131330
121,0.131315
122,0.131298
123,0.131310
124,0.131298
125,0.131298
126,0.131299
127,0.131313
128,0.131306
129,0.131298
130,0.131297
131,0.131309
132,0.131297
133,0.131297
134,0.131313
135,0.131298
136,0.131305
137,0.131297
138,0.131303
139,0.131297
140,0.131297
141,0.131291
142,0.131303
143,0.131292
144,0.131291
