Time,CSF,Plasma
1.000000e-01,0.676067,0.003409
2.000000e-01,1.306427,0.042576
3.000000e-01,1.894171,0.104572
4.000000e-01,2.442181,0.187100
5.000000e-01,2.953141,0.288042
6.000000e-01,3.429558,0.405443
7.000000e-01,3.873766,0.537503
8.000000e-01,4.287943,0.682563
9.000000e-01,4.674119,0.839096
1,5.034188,1.005697
1.100000e+00,5.369913,1.181075
1.200000e+00,5.682942,1.364045
1.300000e+00,5.974808,1.553519
1.400000e+00,6.246942,1.748499
1.500000e+00,6.500678,1.948072
1.600000e+00,6.737260,2.151402
1.700000e+00,6.957848,2.357724
1.800000e+00,7.163523,2.566343
1.900000e+00,7.355292,2.776622
2,7.534097,2.987983
2.100000e+00,7.700814,3.199902
2.200000e+00,7.856260,3.411902
2.300000e+00,8.001197,3.623551
2.400000e+00,8.136335,3.834459
2.500000e+00,8.262337,4.044277
2.600000e+00,8.379820,4.252689
2.700000e+00,8.489361,4.459411
2.800000e+00,8.591497,4.664192
2.900000e+00,8.686727,4.866807
3,8.775519,5.067058
3.100000e+00,8.858308,5.264769
3.200000e+00,8.935501,5.459787
3.300000e+00,9.007474,5.651979
3.400000e+00,9.074582,5.841229
3.500000e+00,9.137153,6.027440
3.600000e+00,9.195494,6.210528
3.700000e+00,9.249890,6.390426
3.800000e+00,9.300609,6.567076
3.900000e+00,9.347899,6.740436
4,9.391992,6.910471
4.100000e+00,9.433104,7.077159
4.200000e+00,9.471437,7.240485
4.300000e+00,9.507178,7.400443
4.400000e+00,9.540503,7.557033
4.500000e+00,9.571575,7.710263
4.600000e+00,9.600546,7.860147
4.700000e+00,9.627559,8.006704
4.800000e+00,9.652745,8.149957
4.900000e+00,9.676229,8.289935
5,9.698125,8.426669
5.100000e+00,9.718540,8.560196
5.200000e+00,9.737576,8.690553
5.300000e+00,9.755324,8.817782
5.400000e+00,9.771873,8.941926
5.500000e+00,9.787303,9.063030
5.600000e+00,9.801690,9.181143
5.700000e+00,9.815104,9.296312
5.800000e+00,9.827611,9.408588
5.900000e+00,9.839273,9.518022
6,9.850146,9.624665
6.100000e+00,9.860284,9.728570
6.200000e+00,9.869737,9.829790
6.300000e+00,9.878550,9.928379
6.400000e+00,9.886768,10.024388
6.500000e+00,9.894431,10.117874
6.600000e+00,9.901575,10.208887
6.700000e+00,9.908236,10.297483
6.800000e+00,9.914447,10.383714
6.900000e+00,9.920238,10.467633
7,9.925638,10.549292
7.100000e+00,9.930672,10.628743
7.200000e+00,9.935366,10.706037
7.300000e+00,9.939743,10.781226
7.400000e+00,9.943824,10.854359
7.500000e+00,9.947629,10.925486
7.600000e+00,9.951176,10.994655
7.700000e+00,9.954484,11.061916
7.800000e+00,9.957569,11.127314
7.900000e+00,9.960444,11.190897
8,9.966018,11.252710
8.100000e+00,10.352383,11.320553
8.200000e+00,10.714881,11.401187
8.300000e+00,11.052872,11.493231
8.400000e+00,11.368013,11.595416
8.500000e+00,11.661848,11.706573
8.600000e+00,11.935818,11.825626
8.700000e+00,12.191266,11.951585
8.800000e+00,12.429445,12.083541
8.900000e+00,12.651521,12.220661
9,12.858583,12.362179
9.100000e+00,13.051647,12.507393
9.200000e+00,13.231658,12.655662
9.300000e+00,13.399499,12.806398
9.400000e+00,13.555994,12.959067
9.500000e+00,13.701908,13.113178
9.600000e+00,13.837958,13.268287
9.700000e+00,13.964810,13.423988
9.800000e+00,14.083085,13.579915
9.900000e+00,14.193365,13.735734
10,14.296189,13.891144
1.010000e+01,14.392062,14.045874
1.020000e+01,14.481453,14.199679
1.030000e+01,14.564800,14.352340
1.040000e+01,14.642513,14.503661
1.050000e+01,14.714972,14.653466
1.060000e+01,14.782533,14.801601
1.070000e+01,14.845525,14.947929
1.080000e+01,14.904259,15.092329
1.090000e+01,14.959023,15.234697
11,15.010084,15.374941
1.110000e+01,15.057693,15.512983
1.120000e+01,15.102083,15.648756
1.130000e+01,15.143472,15.782207
1.140000e+01,15.182063,15.913288
1.150000e+01,15.218045,16.041963
1.160000e+01,15.251595,16.168205
1.170000e+01,15.282876,16.291992
1.180000e+01,15.312043,16.413311
1.190000e+01,15.339237,16.532155
12,15.364593,16.648521
1.210000e+01,15.388235,16.762412
1.220000e+01,15.410279,16.873838
1.230000e+01,15.430832,16.982808
1.240000e+01,15.449996,17.089341
1.250000e+01,15.467864,17.193454
1.260000e+01,15.484524,17.295170
1.270000e+01,15.500058,17.394514
1.280000e+01,15.514542,17.491513
1.290000e+01,15.528046,17.586196
13,15.540638,17.678595
1.310000e+01,15.552378,17.768742
1.320000e+01,15.563324,17.856672
