Time,CSF,Plasma
1,-0.003841,-0.005612
2,-0.001413,-0.002488
3,-0.000520,-0.001016
4,-0.000191,-0.000398
5,-0.000070,-0.000152
6,-0.000026,-0.000057
7,-0.000010,-0.000021
8,0.000003,-0.000008
9,49.932711,0.000646
10,99.863333,0.001855
11,149.791975,0.003197
12,199.718635,0.004570
13,249.643315,0.005951
14,299.566015,0.007333
15,349.486734,0.008716
16,399.405472,0.010099
17,449.322230,0.011482
18,499.237008,0.012864
19,549.149805,0.014247
20,599.060623,0.015630
21,648.969460,0.017012
22,698.876317,0.018395
23,748.781194,0.019777
24,798.683950,0.021294
25,293.823978,238.574484
26,108.093780,144.737789
27,39.766208,66.851357
28,14.629438,27.842403
29,5.381968,11.018628
30,1.979952,4.238860
31,0.728397,1.603658
32,0.268622,0.600525
33,50.194223,0.144068
34,100.124835,0.036110
35,150.053466,0.011382
36,199.980116,0.006530
37,249.904786,0.006424
38,299.827475,0.007452
39,349.748183,0.008750
40,399.666911,0.010112
41,449.583659,0.011490
42,499.498426,0.012872
43,549.411213,0.014254
44,599.322020,0.015637
45,649.230847,0.017020
46,699.137694,0.018402
47,749.042561,0.019785
48,798.945310,0.021297
49,293.921108,238.652751
50,108.129513,144.785492
51,39.779353,66.873421
52,14.634274,27.851598
53,5.383747,11.022268
54,1.980606,4.240261
55,0.728638,1.604188
56,0.268703,0.600723
57,50.194154,0.144115
58,100.124766,0.036121
59,150.053397,0.011385
60,199.980047,0.006531
61,249.904717,0.006424
62,299.827406,0.007452
63,349.748114,0.008750
64,399.666842,0.010112
65,449.583590,0.011490
66,499.498357,0.012872
67,549.411144,0.014254
68,599.321951,0.015637
69,649.230778,0.017020
70,699.137625,0.018402
71,749.042492,0.019785
72,798.945245,0.021294
73,293.920655,238.652644
74,108.129346,144.785331
75,39.779292,66.873333
76,14.634252,27.851559
77,5.383739,11.022252
78,1.980603,4.240255
79,0.728637,1.604186
80,0.269089,0.600720
81,50.201375,0.144106
82,100.131987,0.036119
83,150.060618,0.011385
84,199.987268,0.006531
85,249.911937,0.006425
86,299.834626,0.007452
87,349.755334,0.008750
88,399.674062,0.010113
89,449.590809,0.011491
90,499.505576,0.012872
91,549.418363,0.014255
92,599.329170,0.015637
93,649.237996,0.017020
94,699.144843,0.018402
95,749.049710,0.019785
96,798.952495,0.021262
97,293.924088,238.654956
98,108.130609,144.786909
99,39.779756,66.874087
100,14.634423,27.851878
101,5.383802,11.022379
102,1.980626,4.240304
103,0.728645,1.604204
104,0.268679,0.600729
105,50.200056,0.144109
106,100.130668,0.036120
107,150.059299,0.011385
108,199.985949,0.006531
109,249.910618,0.006425
110,299.833307,0.007452
111,349.754015,0.008750
112,399.672743,0.010113
113,449.589490,0.011490
114,499.504257,0.012872
115,549.417044,0.014255
116,599.327851,0.015637
117,649.236678,0.017020
118,699.143524,0.018402
119,749.048391,0.019785
120,798.951238,0.021205
121,293.923547,238.654551
122,108.130410,144.786651
123,39.779683,66.873966
124,14.634396,27.851827
125,5.383792,11.022359
126,1.980623,4.240296
127,0.728644,1.604201
128,0.269093,0.600726
129,50.203976,0.144104
130,100.134588,0.036119
131,150.063218,0.011385
132,199.989868,0.006531
133,249.914537,0.006425
134,299.837226,0.007452
135,349.757934,0.008750
136,399.676662,0.010113
137,449.593409,0.011491
138,499.508176,0.012872
139,549.420963,0.014255
140,599.331769,0.015637
141,649.240596,0.017020
142,699.147442,0.018402
143,749.052309,0.019785
144,798.955113,0.021245
145,293.924486,238.655620
146,108.130755,144.787186
147,39.779810,66.874197
148,14.634442,27.851920
149,5.383809,11.022395
150,1.980629,4.240310
151,0.728646,1.604206
152,0.269416,0.600726
153,50.207050,0.144101
154,100.137662,0.036118
155,150.066292,0.011385
156,199.992942,0.006531
157,249.917611,0.006425
158,299.840300,0.007452
159,349.761008,0.008750
160,399.679735,0.010113
161,449.596482,0.011491
162,499.511249,0.012872
163,549.424036,0.014255
164,599.334842,0.015637
165,649.243669,0.017020
166,699.150515,0.018403
167,749.055382,0.019785
168,798.958227,0.021207
169,293.925938,238.656603
170,108.131290,144.787855
171,39.780007,66.874517
172,14.634515,27.852055
173,5.383836,11.022449
174,1.980639,4.240330
175,0.728650,1.604214
176,0.269628,0.600728
177,50.210625,0.144097
178,100.141236,0.036117
179,150.069867,0.011384
180,199.996516,0.006531
181,249.921185,0.006425
182,299.843874,0.007452
183,349.764582,0.008750
184,399.683309,0.010113
185,449.600056,0.011491
186,499.514823,0.012872
187,549.427609,0.014255
188,599.338415,0.015637
189,649.247242,0.017020
190,699.154088,0.018403
191,749.058954,0.019785
192,798.961687,0.021312
193,293.926899,238.657599
194,108.131643,144.788380
195,39.780137,66.874748
196,14.634563,27.852149
197,5.383853,11.022486
198,1.980645,4.240345
199,0.728652,1.604220
200,0.268575,0.600736
201,50.191489,0.144122
202,100.122101,0.036123
203,150.050733,0.011385
204,199.977383,0.006531
205,249.902053,0.006424
206,299.824742,0.007452
207,349.745451,0.008750
208,399.664179,0.010112
209,449.580926,0.011490
210,499.495694,0.012872
211,549.408481,0.014254
212,599.319288,0.015637
213,649.228115,0.017020
214,699.134962,0.018402
215,749.039829,0.019785
216,798.942639,0.021240
217,293.918504,238.651613
218,108.128555,144.784443
219,39.779001,66.872885
220,14.634145,27.851365
221,5.383699,11.022174
222,1.980589,4.240224
223,0.728631,1.604174
224,0.269154,0.600715
225,50.202574,0.144104
226,100.133185,0.036119
227,150.061816,0.011385
228,199.988466,0.006531
229,249.913135,0.006425
230,299.835824,0.007452
231,349.756532,0.008750
232,399.675260,0.010113
233,449.592007,0.011491
234,499.506774,0.012872
235,549.419561,0.014255
236,599.330368,0.015637
237,649.239194,0.017020
238,699.146041,0.018402
239,749.050908,0.019785
240,798.953676,0.021279
